"","text","emotion","polarity"
"99","yall gotta catch this 7am fade ","joy","positive"
"100","na fam  it’s a great morning to cozy up to a nice hot chocolate and tweet us  ","joy","positive"
"101"," hi there first of all thanks for the great support the chase app must be equipped with finger print and enhanced to full ui","joy","positive"
"102"," it says foreign check are not usable with quick deposit ","unknown","positive"
"103"," its been a week and i have not gotten my card cannot believe its taking that long","unknown","negative"
"104","  any plans to have touchid for the chase mobile iphone app","unknown","positive"
"105"," ill try tomorrow","unknown","negative"
"106","feeling good about ","joy","positive"
"107"," where can i change my currency of canadian dollars to us dollars","unknown","positive"
"108"," were leaving for the night since our team is located in the buckeye state we want to congratulate the ohio state buc…","joy","positive"
"109"," really a bank using hashtag gobucks how original","unknown","neutral"
"110","i want to see if chase really value their customers  ","unknown","positive"
"111","might quit  goblue “our team is in the buckeye state we want to congratulate the ohio state buckeyes gobucks mm”","joy","positive"
"112"," gobucks yourself","unknown","positive"
"113"," were leaving for the night since our team is located in the buckeye state we want to congratulate the ohio state buc…","joy","positive"
"114"," thank you very much tonya had been a pleasure to speak with","unknown","positive"
"115"," cant say 140 char are enough to exp months of issues that i keep having to call chase about dobetter usecreditunions","unknown","negative"
"116"," can a create a new savings account online or must i go to a bank","unknown","negative"
"117"," i have 3 overdraft fees due to a misunderstanding with the company i worl for","unknown","neutral"
"118"," you guys banking system sucks","unknown","positive"
"119","thanks to  for being on top of fraudulent activity  and edu00a0u00bdedu00b1u008e to the people who made a copy of my card and tried to use it edu00a0u00bdedu00b8u00a1","surprise","neutral"
"120"," ok thanks what are documents needed in order to open the account","unknown","neutral"
"121"," wow how nice much nicer than  ","unknown","positive"
"122","  email about activity on my card chase  doesnt support two factor authentication  get this ","sadness","neutral"
"123"," yes there please what should i have with me btw im not american","joy","positive"
"124"," thank you for your help situation resolved","unknown","positive"
"125"," ah well i can work around that  thanks for your fast response happy to be a customer","joy","positive"
"126"," any suggestions for getting responses on equator","unknown","positive"
"127"," thank you it was a different number i just resent everything now ","anger","neutral"
"128","  ok sounds good","joy","positive"
"129"," yes thank you","unknown","positive"
"130"," hello you can fax the documents to 8662204130 please let me know if this is the number youve attemp…","joy","positive"
"131","  when will you be announcing amp contacting grant winners cantwait hopeyoucallkinesis","unknown","positive"
"132"," can you give me the best fax or email for the short sale department i have faxed docs for days and they wont go through","unknown","positive"
"133"," thanks for elevating it through the appropriate channels received a personal telephone call today and appreciated that","joy","neutral"
"134"," i have a suspicious charge of 89 on my card can you help please","joy","neutral"
"135"," hi please let me know if i can oppen a bank account saturdays at miami brickell what are the requirments thanks","joy","neutral"
"136"," i have a question about quick pay can a representative call me","unknown","negative"
"137"," i have a few questions  helpme","unknown","positive"
"138"," i’d like to open a bank account with you can i just drop in any offices i’m with citibank now do you take care of the move","joy","neutral"
"139"," hi if i add an authorized user do i get separate reporting  statements for the other card","sadness","negative"
"140"," are there any perks for referrals i have a friend who wants to open a checking account","joy","neutral"
"141"," once the payment went through on monday it stopped so all is well","unknown","positive"
"142"," got it taken care of thank you u263aufe0f","joy","positive"
"143"," why not other financial institutions offer that capability which makes my customer experience easier","unknown","positive"
"144"," thanks for waiving the fees thanks for real this time ","unknown","positive"
"145","found some real estate on my credit report gifted by chase wonder if i can trick em into giving me the deed of trust edu00a0u00bdedu00b8u00ac  ","surprise","positive"
"146"," i can try to go to branch doing it again is there a number that i can call in case the issue with the coupon","unknown","negative"
"147"," in the branch","unknown","positive"
"148"," expiration date is 022815 so that is not the issue and i dont have the exiting account with chase when tried","unknown","negative"
"149"," hello id like to review your account regarding the atm fees can you followdm your name and zip code an","joy","neutral"
"150"," thank you for helping out you guys are the best ","unknown","positive"
"151"," im following you not sure youre following me","unknown","positive"
"152"," what should i do in order to be able to use the coupon to open the account in your banking branch","unknown","positive"
"153"," i tried to open the new accounts using these coupon but was told that the coupon was not invalid","unknown","negative"
"154"," once again fraudulent activity on my account and no one seems to know how to help resolve 4 reps 30 minutes noresolution","unknown","neutral"
"155"," followed","unknown","positive"
"156"," been trying many chase phone numbers like 18004323117 getting static and circuits are busy  problems","joy","negative"
"157"," yes i shouldnt be asked for the same shit twice","unknown","positive"
"158"," thanks if i get anything else i will just forward it","sadness","neutral"
"159"," if only  was the only firm suffering from this issue whats the point really","sadness","negative"
"160"," i bank with  why cant i receive ebills from you  am i missing something","unknown","negative"
"161"," i am on the phone with someone right now","unknown","positive"
"162"," ill give a call and if need further assistance  ill let you know 
thanks ","unknown","negative"
"163","call  and punch in your acct and zip code to get to a person get to a person immediately get asked for acct and zip again","sadness","negative"
"164"," already spoke to custservice told me no one can help amp thats the way it is slate card which prompted me to tweet about it","unknown","negative"
"165"," already spoke to custservice told me no one can help and thats the way it is slate card which prompted me to tweet it","unknown","negative"
"166","  i got this 200200 checking saving bonus coupon from the mail but when i tried to use it was told it is invalid why","unknown","negative"
"167"," i got a new sapphire preferred card yesterday i am trying to add it to my account but am getting error 2001 please help","joy","negative"
"168"," its a serious question i have been trying to talk to a human for 30 minutes","unknown","negative"
"169"," what number do i call if i am going abroad and need   help","unknown","negative"
"170"," it was an online customer service agent for my biz visa didnt get her name  but how nice of you to follow up ","sadness","negative"
"171"," overnight a check to a merchant please","joy","positive"
"172"," 
is there a customer support phone number that i can call regarding my reservation through ultimate rewards program","unknown","neutral"
"173"," i have a mortgage and 2 credit cards with you how can i not open a checking account online or over the phone","unknown","neutral"
"174","  is it possible to activate a debit card outside the american soil","unknown","negative"
"175"," sending you a dm now","unknown","positive"
"176"," 12 we would still like to put you in contact with a rep from our auto loan dept to address this if youd li…","joy","positive"
"177"," 12 we would still like to put you in contact with a rep from our auto loan dept to address this if youd li…","joy","positive"
"178"," 
i book flight yesterday through ultimate rewards confirmation i m9495139 i never received a confirmation email","unknown","neutral"
"179"," hi could you please dm me i received an email from someone that says he is from your bank and would like to verify thanks","joy","positive"
"180"," your emails aren’t working i earned more than 54 points yesterday let alone an entire year ","unknown","positive"
"181"," following","unknown","positive"
"182"," my insurance company is recommending i sign a direction to pay since ill be traveling for a week will that still work","unknown","neutral"
"183"," did you remove the ability to send checks online i cant seem to find it and would rather not have to go into a branch","unknown","positive"
"184"," i actually ended up calling in and spoke to someone on the help line","unknown","positive"
"185"," if you need anything amy just contact my barclaycard us  theyll help tm","unknown","neutral"
"186"," i am sorry to hear that i am worried about that happening now","sadness","negative"
"187","  if you need anything amy just contact my barclaycard us  theyll help tm","unknown","neutral"
"188"," i still get no answers from chase you must be the most complicated bank there is not even escalation can get an answer","sadness","negative"
"189"," just dmd you i have now contacted you for 4th time about issue lets see what you can do before i go back to ","unknown","positive"
"190"," i have a leased vehicile andw as in an accident do i need to contact you guys","unknown","negative"
"191"," it would bring your app up to date with the other financial apps i use like amex please prioritize thanks","joy","positive"
"192"," thanks for your help  ill make sure i have that documentation with me  thanks for your help","unknown","neutral"
"193","i have to saycalling a bank shouldnt make me this happy thank you  for always being amazing customerservice bank","joy","positive"
"194"," is it safe to use my chase account on apps like mint and level ","joy","neutral"
"195"," 
been waiting on my card for gt1 week when i was told next day shipping have a trip this weekend and want to use the card…","unknown","positive"
"196"," seems to be confusion  said they were being mailed in waves and 2 be patient have premier cardsame as husband","unknown","neutral"
"197"," we’re back and would love to help with your banking questions today we only request that you take off your mittens befor…","joy","positive"
"198"," hi  im going to be living in chicago for 6 months b1 visa so no ssn  am i able to get a basic bank account","sadness","negative"
"199"," is adding touch id support to your ios app on the product roadmap","unknown","neutral"
"200"," does the chase sapphire preferred still receive triple points at restaurants on the first friday of each month","unknown","positive"
"201"," your customer support is terrible","fear","neutral"
"202"," hey chase i need helppppp","unknown","negative"
"203"," case insenstive passwords are bad for your users security please fix it even better use fido ","joy","positive"
"204","can   help me get  thanks to my run to   today i mean come on i make beautiful music","sadness","negative"
"205"," 
please send me a direct message
thanks","joy","positive"
"206"," 
hello

please contact me regarding a problem with my ultimate rewards
thanks
abdul ","joy","positive"
"207"," i had an account you stranded me in dc i have moved to ny where you have branches i would like to clear  up the account","joy","neutral"
"208","“  en are my initials my name is erin chase bank is a part of jpmorgan chase amp co as a whole en” scum bags","unknown","negative"
"209","“  bullshit you can send your tax bill to jpmorgan chase bank na tax department po box 961227 ft worth tx 76161 sg”","unknown","negative"
"210"," thank you it makes it a lot harder when you get direct deposit and need cash i appreciate it","joy","negative"
"211"," where are you all located","unknown","positive"
"212"," apparently only helps during business hours what are us west coasters to do","unknown","positive"
"213"," i purchased through the ur mall omaha steaks on 1216 and havent seen the bonus points post yet how long before they show","unknown","negative"
"214"," cool nite","unknown","positive"
"215"," yay i love pom poms good night","joy","neutral"
"216"," left work 1 hr early to open an account not even a customer yet amp not sure i would want to be w that type of service","unknown","positive"
"217"," frustrated w lack of customer service told to arrive by 545 to open new biz account arrive at 545 no one there to help","anger","negative"
"218","  hello  im a chase customer and i am currently overseas  i may have forgotten my user id password but when","unknown","positive"
"219"," id like to know why i have to reset my password every time i try to log into my chase sapphire account this is ridiculous","joy","negative"
"220"," i forgot my quickpay credentials how can i get it back i see the reset option for chase customers but not for non customers","surprise","negative"
"221"," spent over an hour trying to get it to work but never could the ordering system seems to be way out of date","sadness","negative"
"222"," yes but never was able to preview them apparently the java applet is not up to javas new sec standards hope they come ok","unknown","positive"
"223","having ill feelings towards  today hopefully  can help","unknown","neutral"
"224"," thank you i sent the dm","unknown","positive"
"225"," it was my pleasure besides it is too cold to be out where you were tweet us again for assistance gobuckeyes…","unknown","neutral"
"226"," it would be really helpful to have one near home","joy","positive"
"227"," hi you guys should put a chase atm in rantoul illinois i have to travel 20  25 min to get to a chase atm","sadness","negative"
"228"," thank you for getting back with me have a wonderful evening","surprise","positive"
"229","dear identity thieves you suck love us oh and thanks  for catching it and calling us","joy","neutral"
"230"," turned overdraft off 1115 still charged til 15 happened on another acct and got full refund how can i get this fixed","sadness","negative"
"231","way to go  solving problems on twitter and letting me be lazier than ever many thanks to tz for all the help","unknown","negative"
"232"," are there plans to bring back ebills for bofa will probably cancel my card due to the hassle but thought id check first","unknown","neutral"
"233","   ask chase how they use my dead mom to justify giving 83 yr old 3rd mortgage","unknown","neutral"
"234"," when the sltn to avoiding fees on your accts is get a different job or have more money its an easy decision to close acct","joy","negative"
"235"," the branch on gender the bankers name was francesca hargrow she was the only banker helping customers while we were there","unknown","positive"
"236","  looking forward to now looking up the 1st mortgage from 20 years ago that you trumped their lien scum","unknown","negative"
"237","  200k on a maybe 100 house  get the hell out of here  like i said thats ftc jury will love what u did w dead mother","joy","negative"
"238","  if i was lying they could stop me wake up world  they scamming mortgages big time ","unknown","neutral"
"239"," time to get i lighten some other social media cant stop me cant sue cuz u dirty pigs","sadness","negative"
"240"," ask your co conspirator what happened when he stole    thieves sue me teuth is complete defense","unknown","negative"
"241","  after 3 phone calls today found it was still on someones desk still not looked into by your support dept","unknown","positive"
"242"," chase student loans holding up s mortgage booooooooooooooooooooo all she needs is current balance ltr","unknown","positive"
"243","  im glad you ignored me i was on the fence cuz i want someone in jail never got to put one in jail just get them put","joy","positive"
"244"," it says the photos arent clearit isnt consistent they are the same checks i receive every month only work 30 of the time","unknown","positive"
"245"," cant even get the java applet to run to preview checks this is insane on both win81 and mac osx very frustrating","anger","negative"
"246"," geez guystrying to reorder checks have to make my javabrowser sec settings very unsecure to get into the page","sadness","negative"
"247","  yes it was your support dept on the 26th that sent it to","unknown","positive"
"248","  she was alive you say  lol guess the next deed of trust u for over double house value alive too huh ","unknown","positive"
"249","  enjoy the ride dirty crook monmas back to life lol lol millions assholes","joy","negative"
"250"," guess its time to see who ready to have some fun no arbitration agreement crap i put 12 people in box ","unknown","neutral"
"251"," got some winners though  couldnt get my dead moms middle name right when u altered the document lol ","sadness","negative"
"252"," until they use an attorneys dead mother to secure 3rd mortgage on house worth 100k less","unknown","neutral"
"253","cuz a trust comes before a deed therefore trust holder beneficiary will never never never lose ","unknown","positive"
"254","  subornation of trust means we screw the original mortgage group n take priority when 83 yr old dies thats why they max house","unknown","neutral"
"255","some people just dont believe     im excited to see what a jury gives us got proof of fraud etrade too","unknown","positive"
"256"," that desperate you go so low to my dead mother   your a disgrace  got you criminally","sadness","negative"
"257"," new technology great customer service better","joy","positive"
"258"," the branch was in canal winchester ohio the banker was extremely kind and helpful the wait was just significantly too long","joy","neutral"
"259"," yes you may call any number associated with my account too","unknown","negative"
"260"," yes i received an apache tomcat error message i called to redeem the points","unknown","positive"
"261"," im thrilled i could help you and provide a great experience if we can offer our assistance in the future…","joy","positive"
"262"," i got it 10 min before i left too close for comfort but thank you for following up","joy","negative"
"263","  i have court filed documents proving  committed mortgage fraud wire fraud theft n old man now 100 upside down","unknown","positive"
"264","which media do i give the exclusive   i have docs proving jpmorgan knowingly defrauded other lenders and the government ","unknown","positive"
"265","  very clever   but for me","unknown","positive"
"266","  now lets talk   knowingly accepting a deed with dead persons name signed","unknown","negative"
"267"," ashkeylynnfaire  i need my routing number","unknown","negative"
"268","  they lie people  watch them fall now dumb asses forged dead moms name and not her real middle name","unknown","negative"
"269"," why dont you check on the loan u did in dead name ","unknown","negative"
"270"," i was unable to locate a dm from then did you send to  if so please dm us here  wed like to help tz","joy","neutral"
"271"," thanks for the response","unknown","positive"
"272","thank you  for your help this is why i continue to use your services edu00a0u00bdedu00b1u008d","unknown","positive"
"273"," and  about to lose so much money play games ","unknown","negative"
"274","i love when a company has great customer service just talked to  and they were extremely helpful","joy","positive"
"275"," i worked everything out thank you","unknown","positive"
"276"," help ive stood in line forever at my branch and not a banker in sight can i call you for help please","joy","positive"
"277"," did that on 122614 got no response why bother","anger","negative"
"278"," new custneeded card by 2pm 2day and was told sat delivnot truesent overnight saver so might not have it in time for trip","unknown","positive"
"279"," thanks its very helpful amex added the feature last month ","unknown","negative"
"280"," ive been having issues with the ultimate rewards website while trying to pay my credit card with points","unknown","negative"
"281"," were  drink coupons sent to all cc holders  if so may be a happy mail person somewhere  husbandsarrivedok","joy","positive"
"282"," dmd cheers","unknown","positive"
"283","i wanted to transfer money to the savings account and it is no longer a savings account please explain ","joy","neutral"
"284","  do you plan to add fingerprint recognition to you ios app like amex","joy","positive"
"285"," still havent received new ccs been over month","unknown","positive"
"286"," yes no worries thanks i was surprised to get a new card even with the same expiration date good timing old one almost worn","surprise","negative"
"287"," hey chase will any of your branches be open on martin luther king day or will they all be closing","unknown","positive"
"288"," same issue on ff and apparently i cant use safari incognito at all trip is 37 to 317 could dst be the problem","unknown","negative"
"289"," msgd about dispute and non receipt of goods any advice  plz chk msgs  thx ","surprise","negative"
"290"," i did open an account thank goodness the banker was great and friendly he made a bad situation a positive one the wait thoedu00a0u00bdedu00b8u00a9edu00a0u00bdedu00b4u00ab","joy","positive"
"291"," clearing the cache seems to have worked for now  thanks for your help","unknown","positive"
"292"," thanks","unknown","positive"
"293"," i want to cancel husband as au from my sapphire pref card so he can apply for his own will this affect his credit","joy","positive"
"294"," no change chrome incognito and when searching i get to the flightfullresultqid and the whole page will freeze up","sadness","neutral"
"295"," mac osx yosemite  site worked fine for ages then decided to start redirecting to mobile a month or two ago","unknown","negative"
"296"," when will debit cards get a chip and signature","sadness","neutral"
"297"," how can i reload my liquid card from canada thanks","unknown","positive"
"298"," thanks for the info","unknown","positive"
"299"," your website always redirects to the mobile version when accessing via safari  fix your dang browser detection","unknown","positive"
"300"," when will chase start producing the emv compatible debit cards","joy","positive"
"301"," we have had transactions from rackspace on a nonchase card  is there something else we can look at  thanks","unknown","positive"
"302"," how do you switch checking accounts as in from chase college to chase total","unknown","negative"
"303"," searching flights through your ur sites broken page freezes every time i search making it hard to give you my money chase","unknown","negative"
"304"," an inflexible fraud detection and authentication approach is awful way to help customers come in what if i lived hours away","fear","negative"
"305"," done","unknown","positive"
"306","  what is the cost of a cashiers check at chase in the chicagoland area","unknown","positive"
"307"," i am fine thank you","unknown","positive"
"308"," thank you its hard to explain what takes time and why they dont ask for all the documents at once appreciate the help","joy","neutral"
"309","  thank you but i called the costumer support and they resolved the problem","unknown","positive"
"310"," if i have a negative balance on my credit card how can i go about getting that back to me","unknown","neutral"
"311"," how about we discuss over the phone you know…the old fashion way","unknown","negative"
"312"," thank you so much you guys are the best have  a great day","joy","positive"
"313"," i did thank you","unknown","positive"
"314"," since u wont send the inspector 2 me ill send the pics 2 you roomrepaired paperworkdone finalthis ","unknown","negative"
"315"," i logged on my account and saw 2 charges i didnt make  helpme","unknown","negative"
"316","new week new hope hoping   make something happen this week homeowner needs some good news ","joy","positive"
"317"," got it happy to resolve this sure we can all do the right thing here   i hope ty","joy","positive"
"318"," have not reinstalled but ill try that thanks","unknown","negative"
"319"," ive an account but no creditdebit card and im outside the us do you have a customer service email that i can use thnx","unknown","negative"
"320"," good morning we are following you feel free to tweet us if you ever have any account questions sg","joy","positive"
"321"," i realize this but it did help on a sunday and are you at all concerned about total lack of supplies for customers","unknown","negative"
"322"," if i add an additional user to my credit card account will i get two times 1500 dollar  quarter rewards or only once ","sadness","negative"
"323"," how to i cancel a quickpay","unknown","positive"
"324"," good morning i just replied to you","joy","positive"
"325"," tried to use the pin sent to me at atm didnt work tried to use night deposit no supplies had to deposit ck wo dslip etc","unknown","positive"
"326"," much appreciated","joy","positive"
"327"," service still stinks almost always understaffed at the counters same goes for your branch at rt 45 amp old nyack turnpike","unknown","positive"
"328"," hi there just wanted to verify i am receiving an offer i applied for last week","unknown","neutral"
"329","  if i extract from new zeland will i be able to extract usd cash  o i will get local currency is there a max amount","sadness","negative"
"330"," we’re packing up and cleaning off our desks for national clean off your desk day who knew you could fit so many tweets i…","anger","neutral"
"331"," we’re packing up and cleaning off our desks for national clean off your desk day who knew you could fit so many tweets i…","anger","neutral"
"332"," apologies we are still unable to send a dm since you do not follow our handle please follow the  handle bd","joy","neutral"
"333"," thanks i use  with my  cc when i can hope you are working to get more people on board with that tech","sadness","neutral"
"334"," maybe best if u have your legal department call me   not willing to discuss w anyone with no decision making authority","unknown","neutral"
"335"," i have followed your handle how come no one has reached out to me","unknown","positive"
"336","hey  applied online for the united club friday and was approved but when i call in to expedite card they say its pending","joy","negative"
"337"," when does the 7 point dividend for the csp post and how can i view it","unknown","positive"
"338"," dear  please add support for ink  on applepay","joy","positive"
"339","dear  please add support for ink  on applepay","joy","positive"
"340"," it would be in your best interest to contact me immediately to resolve an issue that clearly will hurt many your call","joy","positive"
"341"," requiring a fax makes a company look like its stuck in the 80s not technologically savvy at all","joy","positive"
"342"," hey i just got back from a country with us sanctions against it and cannot access my account i have to fax notarized info","unknown","positive"
"343","  got it was hoping for exact date not a prob","unknown","negative"
"344","  end of february","unknown","positive"
"345","when should i expect the 7 annual dividend for my csp ","joy","positive"
"346"," how do i fix my account","unknown","negative"
"347"," hi you might be interested in this blog about a couple doing safari in africa ","unknown","positive"
"348"," as we close for the evening we want to wish rod stewart a happy 70th birthday remember to stay forever young tz","joy","positive"
"349"," just dm you a question thank you","unknown","neutral"
"350","  i need to speak to someone who wont hang up the phone your customerservice is failing","fear","negative"
"351"," i made two transactions and now i cannot make one more tell me fraud prevention has something to do with that","unknown","negative"
"352"," so now i cant use the app on my phone which i need because im not updating to 7 if i dont have to yet","unknown","negative"
"353"," actually it tells you it now requires 7 in order to work now i tried uninstalling same thing happened im not happy","joy","positive"
"354"," is the online access down cant log on whats the toll free number","unknown","positive"
"355"," hi i am not currently in usaand  i wanted to know how much is the international withdrawal fee i need to extract usd 4800","unknown","neutral"
"356","      oops","unknown","positive"
"357","you guys at  are the best thank you very much","unknown","positive"
"358"," your ios mobile app ought to be be enhanced to support touchid and  api integration please pass along this request","joy","positive"
"359"," love me like i want 2 love you amp refund the 200 n unauthorized fees u charged me on my  mileageplus cardnot cool","joy","positive"
"360"," trying to create online account to pay bills but i need to change the phone  on account so i can get verification ","sadness","negative"
"361"," its never too early to start planning for retirement rothira   ","unknown","positive"
"362"," hi i have credit balance on a credit card which was closed how long does it take to get a refund check","sadness","negative"
"363"," its too bad you charged my chase mileageplus mastercard 200 in unauthorized fees to redeposit miles ","sadness","negative"
"364"," maybe you all wouldnt have suck a bad rap if you returned a call been telling u u about this for week  fcc in now","joy","negative"
"365"," learned they dont care about longtime customers","joy","positive"
"366"," how long does a refund take to post on a credit card","unknown","negative"
"367"," thanks guys cant believe you came through via twitter","unknown","positive"
