n,Full Text,Score,Very.Pos,Very.Neg,Cleaned Text,Emotion,Polarity
19,@ChaseSupport How does active duty military enroll their CC for SCRA benefits?,1,0,0, how does active duty military enroll their cc for scra benefits,unknown,positive
20,"@ChaseSupport Good Morning! I applied for a credit card last month, but haven't received the card so far. Can you please help to resend? Thx",1,0,0, good morning i applied for a credit card last month but havent received the card so far can you please help to resend thx,joy,positive
21,@ChaseSupport I am receiving many emails with erroneous information. I'm not your client so must be a mistake. Can you help me?,-2,0,1, i am receiving many emails with erroneous information im not your client so must be a mistake can you help me,unknown,negative
22,"@ChaseSupport Hey, I was just wondering when I can expect 1099-INT for my checking account to be available?",1,0,0, hey i was just wondering when i can expect 1099int for my checking account to be available,joy,neutral
23,@ChaseSupport Hello..How may I obtain past statements from 2008-2010 i no longer have an account. Thanks,0,0,0, hellohow may i obtain past statements from 20082010 i no longer have an account thanks,unknown,negative
24,"@ChaseSupport took 50 min but they finally got it! they had a tray with cookies and a sign that said “dog food”, wonder if that was a prank",1,0,0, took 50 min but they finally got it they had a tray with cookies and a sign that said “dog food” wonder if that was a prank,surprise,positive
25,@ChaseSupport 01/12/2015   Misc. Debit dr due to ATM/DEP error what does this mean on my statement costing me $60?  Who can I speak to?,-1,0,0, 01122015   misc debit dr due to atmdep error what does this mean on my statement costing me 60  who can i speak to,unknown,negative
26,"@ChaseSupport i ve found a Visa credit card and Wallet with drive lice se of person named ""jessica Ryan"" from 
Durham NC, UsA . Please help",0,0,0," i ve found a visa credit card and wallet with drive lice se of person named jessica ryan from 
durham nc usa  please help",joy,positive
27,#JamieDimon how many times do I have to leave msg for #ChaseBank rep to call me back re: #fraud hold.? #PoorCustomerService @ChaseSupport,-1,0,0,jamiedimon how many times do i have to leave msg for chasebank rep to call me back re fraud hold poorcustomerservice ,unknown,negative
28,"@ChaseSupport 4841 Fenton Road, Flint, MI 48507 and G-4085 S Saginaw St Burton MI 48529",0,0,0, 4841 fenton road flint mi 48507 and g4085 s saginaw st burton mi 48529,unknown,negative
29,@ChaseSupport We are Chase customers and will need a certified check. Can we get this in the drive-thru or do we have to go into the lobby?,0,0,0, we are chase customers and will need a certified check can we get this in the drivethru or do we have to go into the lobby,sadness,negative
30,@ChaseSupport this could have been said in the DM. But I understand the social media PR. Dont forget your employee put me in this situation.,0,0,0, this could have been said in the dm but i understand the social media pr dont forget your employee put me in this situation,unknown,neutral
31,@ChaseSupport I'm not sure I understand the if in your statement. How would one find out?,0,0,0, im not sure i understand the if in your statement how would one find out,unknown,positive
32,@ChaseSupport Do Apple stores count as office supply stores for the ink business card?,0,0,0, do apple stores count as office supply stores for the ink business card,unknown,negative
33,@ChaseSupport i am trying to refer my brother to get the Chase Ink card... are there any active referral bonuses?,1,0,0, i am trying to refer my brother to get the chase ink card are there any active referral bonuses,joy,negative
34,"@ChaseSupport Yes, tried it. Says it requires IOS7 which I don't have. So now I can't use the app at all anymore?",0,0,0, yes tried it says it requires ios7 which i dont have so now i cant use the app at all anymore,unknown,positive
35,@ChaseSupport done,0,0,0, done,unknown,positive
36,@ChaseSupport I need a phone # to call for questions on applying for a Sapphire card.  I don't have a Chase account,0,0,0, i need a phone  to call for questions on applying for a sapphire card  i dont have a chase account,unknown,negative
37,"Thank you, @ChaseSupport, I really appreciate that.",2,1,0,thank you  i really appreciate that,joy,positive
38,"@ChaseSupport sorry yes, please provide the fax# to submit 3rd party authorization letter.",-1,0,0, sorry yes please provide the fax to submit 3rd party authorization letter,joy,positive
39,@ChaseSupport My last 2 emails never got a response and I dont want to be on the phone with you for another hour.  Can I get some help,0,0,0, my last 2 emails never got a response and i dont want to be on the phone with you for another hour  can i get some help,sadness,negative
40,@ChaseSupport Please help! I'm getting no response from you on my customer's short sale. Buyer is about to walk!!,0,0,0, please help im getting no response from you on my customers short sale buyer is about to walk,joy,positive
41,"@ChaseSupport Well, we never got them. After calling Chase, hey said they would be resend. Now we have letter saying we won't get them.",1,0,0, well we never got them after calling chase hey said they would be resend now we have letter saying we wont get them,sadness,negative
42,@ChaseSupport now follows me but I rather have an answer to why they don't fulfill a part of the offer,0,0,0, now follows me but i rather have an answer to why they dont fulfill a part of the offer,joy,positive
43,@ChaseSupport my question is too long for twitter.  Is there an 800 number for cust svc re online bill pay?,0,0,0, my question is too long for twitter  is there an 800 number for cust svc re online bill pay,unknown,negative
44,"Wow @ChaseSupport never sent the @united club passes that came with the cc &amp; after contacting them, they say we won't get any till September",1,0,0,wow  never sent the  club passes that came with the cc amp after contacting them they say we wont get any till september,sadness,neutral
45,@ChaseSupport its gotta happen.,0,0,0, its gotta happen,unknown,positive
46,@ChaseSupport Thanks! Just did!,0,0,0, thanks just did,unknown,positive
47,@ChaseSupport faxing 28 pages previously sent via certified mail on 12/4/2014 that Chase said didn't get but did get check in same envelope.,0,0,0, faxing 28 pages previously sent via certified mail on 1242014 that chase said didnt get but did get check in same envelope,sadness,negative
48,When will @chase / @ChaseSupport get touch id login????,0,0,0,when will    get touch id login,sadness,negative
49,@ChaseSupport Should be following you,0,0,0, should be following you,unknown,positive
50,RT @ChaseSupport: @hayyy1110 Thank you for the love. We look forward to continue providing you with this level of service. Have a wonderful…,3,1,0, thank you for the love we look forward to continue providing you with this level of service have a wonderful…,joy,positive
51,"@RicksWord I'll share your feedback. If we can ever be of any assistance, please feel free to tweet us here @ChaseSupport. ^TZ",1,0,0, ill share your feedback if we can ever be of any assistance please feel free to tweet us here  tz,joy,positive
52,@ChaseSupport thanks guys!,0,0,0, thanks guys,unknown,positive
53,@ChaseSupport can you see if my new cc has come through so you can overnight it to me or my hotel this weekend?,0,0,0, can you see if my new cc has come through so you can overnight it to me or my hotel this weekend,unknown,positive
54,@ChaseSupport they’ve called claims dept a few times and can’t seem to figure it out,0,0,0, they’ve called claims dept a few times and can’t seem to figure it out,unknown,negative
55,"@ChaseSupport Wondering what we have to do to keep our branch in Greenville, MI alive and working.",0,0,0, wondering what we have to do to keep our branch in greenville mi alive and working,unknown,positive
56,@ChaseSupport the executor is a friend of the family that has moved out of state. Is there a form I can mail her?,0,0,0, the executor is a friend of the family that has moved out of state is there a form i can mail her,joy,neutral
57,"@ChaseSupport I’m at the bank now and no one can figure out how to get them, is there something I should tell them that would help?",0,0,0, i’m at the bank now and no one can figure out how to get them is there something i should tell them that would help,sadness,negative
58,"@ChaseSupport : Aliente, NLV NV brance Had 1 since I've Been in NLV (2009). Was no reason to call ahead. Just saying that I was surprised",0,0,0,  aliente nlv nv brance had 1 since ive been in nlv 2009 was no reason to call ahead just saying that i was surprised,surprise,neutral
59,"@ChaseSupport My father has passed away, how do I claim the funds in his Chase banking account? I have his will and I am sole beneficiary.",1,0,0, my father has passed away how do i claim the funds in his chase banking account i have his will and i am sole beneficiary,unknown,neutral
60,@ChaseSupport When you send chase quick pay from a non-chase account does it immediately send you email verification that you sent paymnt?,0,0,0, when you send chase quick pay from a nonchase account does it immediately send you email verification that you sent paymnt,unknown,negative
61,@ChaseSupport DM sent...,0,0,0, dm sent,unknown,positive
62,@ChaseSupport I will!!,0,0,0, i will,unknown,positive
63,@ChaseSupport I figured it out. They sent me some form that I have to fill out and return. Thanks though!,0,0,0, i figured it out they sent me some form that i have to fill out and return thanks though,unknown,negative
64,@ChaseSupport should be resolve the technology of your new ATMs got me <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>,0,0,0, should be resolve the technology of your new atms got me edu00a0u00bdedu00b8u0081edu00a0u00bdedu00b8u0081,unknown,positive
65,"@ChaseSupport HUGE issue closing a short sale that was approved. Chase Closer is NOT GREAT, 3rd approval letter now expired, Please HELP!",0,0,0, huge issue closing a short sale that was approved chase closer is not great 3rd approval letter now expired please help,joy,positive
66,@ChaseSupport do you offer bank accounts to international students studying at US universities?,0,0,0, do you offer bank accounts to international students studying at us universities,unknown,negative
67,"@ChaseSupport thank you for your respond, love this support!",3,1,0, thank you for your respond love this support,joy,positive
68,@business It really  seems  true. Regulations can go too far. I never had any problem with  @Chase and get great @ChaseSupport @nami13,0,0,0, it really  seems  true regulations can go too far i never had any problem with   and get great  ,joy,negative
69,@ChaseSupport Will do! Headed your way ...,0,0,0, will do headed your way ,unknown,neutral
70,"@ChaseSupport
 hey chase people,
So what's the deal with you guys covering broken phones up to 120 days after the purchase? 
#help",-1,0,0,"
 hey chase people
so whats the deal with you guys covering broken phones up to 120 days after the purchase 
help",unknown,neutral
71,@ChaseSupport I need the # to send the authorization letter,0,0,0, i need the  to send the authorization letter,unknown,negative
72,@ChaseSupport Radio button to pay my statement balance is grayed out-perhaps due to a return I made? Can only pay current balance or other.,0,0,0, radio button to pay my statement balance is grayed outperhaps due to a return i made can only pay current balance or other,unknown,negative
73,@ChaseSupport thank you!!,1,0,0, thank you,unknown,positive
74,@ChaseSupport I've sent an email through my account asking about the charges - still waiting for a reply. Thanks.,0,0,0, ive sent an email through my account asking about the charges  still waiting for a reply thanks,unknown,negative
75,@ChaseSupport messaged you guys were you able to figure out why I was charged 25$ for a service fee?,0,0,0, messaged you guys were you able to figure out why i was charged 25 for a service fee,unknown,neutral
76,"@ChaseSupport I am aware, but have you heard of @clearxchange thru @bankofamerica? I want to know if it's safe.",1,0,0, i am aware but have you heard of  thru  i want to know if its safe,unknown,positive
77,"@ChaseSupport this was a couple days ago, working now. Using Safari on MacBook.",0,0,0, this was a couple days ago working now using safari on macbook,unknown,positive
78,@Chase @ChaseSupport thanks. Thats not my email address. That's the email address the email came from. Thanks!,0,0,0,  thanks thats not my email address thats the email address the email came from thanks,unknown,positive
79,"@ChaseSupport dear chase bank, after your corrupt bailout. I would not do business with you if you were the only bank on earth. waste paper.",-2,0,1, dear chase bank after your corrupt bailout i would not do business with you if you were the only bank on earth waste paper,unknown,negative
80,@ChaseSupport Tweeting away... The #chase #apps menu could use some tweaking. It still doesn't look like it fits in with the rest of the app,1,0,0, tweeting away the chase apps menu could use some tweaking it still doesnt look like it fits in with the rest of the app,joy,positive
81,@ChaseSupport I very much appreciate your help!,1,0,0, i very much appreciate your help,joy,positive
82,@ChaseSupport no wonder its a cluster mess and has taken 5 months with drunk driver hitting house 10 months ago. Keep up the good work.,1,0,0, no wonder its a cluster mess and has taken 5 months with drunk driver hitting house 10 months ago keep up the good work,joy,neutral
83,@ChaseSupport doesn't say who is charging me for a service fee? Or even what service im being charged for. I didnt purchase anything.,0,0,0, doesnt say who is charging me for a service fee or even what service im being charged for i didnt purchase anything,unknown,positive
84,"@ChaseSupport who is handling my settlement file? Beth called, letter saying Eric, then Tracey in Corp support. Can't 1 person do this?",1,0,0, who is handling my settlement file beth called letter saying eric then tracey in corp support cant 1 person do this,unknown,positive
85,@ChaseSupport hey just got a notification saying my checking was -3 dollars. Went to check it said $25 was withdrawn for a service fee?,0,0,0, hey just got a notification saying my checking was 3 dollars went to check it said 25 was withdrawn for a service fee,unknown,positive
86,@ChaseSupport done,0,0,0, done,unknown,positive
87,"@ChaseSupport Hello Chase, I am wondering if it is possible for me to have 2 checking accounts?",0,0,0, hello chase i am wondering if it is possible for me to have 2 checking accounts,unknown,positive
88,@ChaseSupport too many cooks stirring the pot over there fyi #needorganiation #restructurestaff,0,0,0, too many cooks stirring the pot over there fyi needorganiation restructurestaff,unknown,positive
89,@ChaseSupport beth was rude #customerservicetrainingneeded she talked over me and didn't let me write anything down 2 fast attitude invoice,0,0,0, beth was rude customerservicetrainingneeded she talked over me and didnt let me write anything down 2 fast attitude invoice,unknown,negative
90,"RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…",1,0,0, were leaving for the night since our team is located in the buckeye state we want to congratulate the ohio state buc…,joy,positive
91,@ChaseSupport why did i receive a call from a Beth asking for me to make up paperwork that doesn't exist? #frustratedtonoend #irate #pissed,-1,0,0, why did i receive a call from a beth asking for me to make up paperwork that doesnt exist frustratedtonoend irate pissed,anger,negative
92,"@chasesupport: i have certain questions regarding my account please advise!
Thanks",0,0,0," i have certain questions regarding my account please advise
thanks",joy,neutral
93,@ChaseSupport I have replied.,0,0,0, i have replied,unknown,positive
94,"@ChaseSupport ok, I'll explain the joke like last time. Go BUCKS. Bucks=$. you're a bank. Bank have $. You're rooting for $.",0,0,0, ok ill explain the joke like last time go bucks bucks youre a bank bank have  youre rooting for ,joy,negative
95,@ChaseSupport I need help. Omg <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #ChaseToTheRescue,0,0,0, i need help omg edu00a0u00bdedu00b8u00ad chasetotherescue,unknown,neutral
96,"RT @ChaseSupport: @jrobinson82 Never fear, the color blue will always hold a special place in our hearts. If we can offer our assistance, p…",-1,0,0, never fear the color blue will always hold a special place in our hearts if we can offer our assistance p…,fear,positive
97,Facts right just handle the $$ keep it movin!! RT @datassholemeeka: Why they tryna be homies? @ItsQuietForYou @ChaseSupport,1,0,0,facts right just handle the  keep it movin  why they tryna be homies  ,unknown,positive
98,Why they tryna be homies? @ItsQuietForYou @ChaseSupport,0,0,0,why they tryna be homies  ,unknown,positive
99,YALL GOTTA CATCH THIS 7am FADE @ChaseSupport,0,0,0,yall gotta catch this 7am fade ,joy,positive
100,NA FAM RT @ChaseSupport: It’s a great morning to cozy up to a nice hot chocolate and tweet us. ... http://t.co/8nNslFKNII,4,1,0,na fam  it’s a great morning to cozy up to a nice hot chocolate and tweet us  ,joy,positive
101,"@ChaseSupport Hi There, first of all thanks for the great support. The chase app must be equipped with finger print and enhanced to full UI",3,1,0, hi there first of all thanks for the great support the chase app must be equipped with finger print and enhanced to full ui,joy,positive
102,@ChaseSupport it says: foreign check are not usable with quick deposit :(,1,0,0, it says foreign check are not usable with quick deposit ,unknown,positive
103,@ChaseSupport It's been a week and I have not gotten my card. Cannot believe it's taking that long.,0,0,0, its been a week and i have not gotten my card cannot believe its taking that long,unknown,negative
104,. @ChaseSupport any plans to have TouchId for the Chase mobile iPhone app?,0,0,0,  any plans to have touchid for the chase mobile iphone app,unknown,positive
105,@ChaseSupport I'll try tomorrow,0,0,0, ill try tomorrow,unknown,negative
106,Feeling good about @ChaseSupport,1,0,0,feeling good about ,joy,positive
107,@ChaseSupport where can i change my currency of Canadian dollars to US dollars?,0,0,0, where can i change my currency of canadian dollars to us dollars,unknown,positive
108,"RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…",1,0,0, were leaving for the night since our team is located in the buckeye state we want to congratulate the ohio state buc…,joy,positive
109,"@ChaseSupport really, a bank using hashtag #gobucks? How original!",0,0,0, really a bank using hashtag gobucks how original,unknown,neutral
110,I want to see if Chase really value their customers @Chase @ChaseSupport,0,0,0,i want to see if chase really value their customers  ,unknown,positive
111,"Might quit @Chase. #goblue “@ChaseSupport:our team is in the ""Buckeye State,"" we want to congratulate The Ohio State Buckeyes! #GoBucks ^MM”",1,0,0,might quit  goblue “our team is in the buckeye state we want to congratulate the ohio state buckeyes gobucks mm”,joy,positive
112,@ChaseSupport #GoBucks yourself,0,0,0, gobucks yourself,unknown,positive
113,"RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…",1,0,0, were leaving for the night since our team is located in the buckeye state we want to congratulate the ohio state buc…,joy,positive
114,@ChaseSupport Thank you very much. Tonya had been a pleasure to speak with,2,1,0, thank you very much tonya had been a pleasure to speak with,unknown,positive
115,@ChaseSupport can't say 140 char are enough to exp months of issues that I keep having to call chase about #dobetter #usecreditunions,0,0,0, cant say 140 char are enough to exp months of issues that i keep having to call chase about dobetter usecreditunions,unknown,negative
116,@ChaseSupport can a create a new savings account online? Or must I go to a bank?,1,0,0, can a create a new savings account online or must i go to a bank,unknown,negative
117,@ChaseSupport i have 3 overdraft fees due to a misunderstanding with the company i worl for,-1,0,0, i have 3 overdraft fees due to a misunderstanding with the company i worl for,unknown,neutral
118,@ChaseSupport you guys banking system sucks,-1,0,0, you guys banking system sucks,unknown,positive
119,Thanks to @ChaseSupport for being on top of fraudulent activity!  And <ed><U+00A0><U+00BD><ed><U+00B1><U+008E> to the people who made a copy of my card and tried to use it <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>,0,0,0,thanks to  for being on top of fraudulent activity  and edu00a0u00bdedu00b1u008e to the people who made a copy of my card and tried to use it edu00a0u00bdedu00b8u00a1,surprise,neutral
120,@ChaseSupport ok thanks! What are documents needed in order to open the account?,0,0,0, ok thanks what are documents needed in order to open the account,unknown,neutral
121,@ChaseSupport wow!!!!! How nice! Much nicer than @FifthThird !!!,3,1,0, wow how nice much nicer than  ,unknown,positive
122,"@chase @chasesupport Email about activity on my card, Chase  doesn't support two factor authentication.  Get this. http://t.co/KHfecqKCR6",1,0,0,  email about activity on my card chase  doesnt support two factor authentication  get this ,sadness,neutral
123,@ChaseSupport yes. There please. What should i have with me? Btw im not american,0,0,0, yes there please what should i have with me btw im not american,joy,positive
124,@ChaseSupport Thank you for your help. Situation resolved!,1,0,0, thank you for your help situation resolved,unknown,positive
125,"@ChaseSupport Ah, well! I can work around that. :) Thanks for your fast response! Happy to be a customer!",4,1,0, ah well i can work around that  thanks for your fast response happy to be a customer,joy,positive
126,@ChaseSupport any suggestions for getting responses on equator?,0,0,0, any suggestions for getting responses on equator,unknown,positive
127,@ChaseSupport Thank you! It was a different number. I just resent everything now :),0,0,0, thank you it was a different number i just resent everything now ,anger,neutral
128,@ChaseSupport @Chase ok sounds good.,1,0,0,  ok sounds good,joy,positive
129,"@ChaseSupport yes, thank you!",1,0,0, yes thank you,unknown,positive
130,"RT @ChaseSupport: @donnadoesphotos Hello, you can fax the documents to 866-220-4130. Please let me know if this is the number you've attemp…",0,0,0, hello you can fax the documents to 8662204130 please let me know if this is the number youve attemp…,joy,positive
131,.@ChaseSmallBiz .@ChaseSupport: When will you be announcing &amp; contacting #Grant winners? #cantwait #hopeyoucallKinesis,1,0,0,  when will you be announcing amp contacting grant winners cantwait hopeyoucallkinesis,unknown,positive
132,@chasesupport can you give me the best fax or email for the short sale department? I have faxed docs for days and they won't go through.,1,0,0, can you give me the best fax or email for the short sale department i have faxed docs for days and they wont go through,unknown,positive
133,@ChaseSupport Thanks for elevating it through the appropriate channels. Received a personal telephone call today and appreciated that.,2,1,0, thanks for elevating it through the appropriate channels received a personal telephone call today and appreciated that,joy,neutral
134,@ChaseSupport I have a suspicious charge of .89¢ on my card. Can you help please?,-1,0,0, i have a suspicious charge of 89 on my card can you help please,joy,neutral
135,@ChaseSupport hi. Please let me know if i can oppen a bank account saturdays at miami brickell. What are the requirments? Thanks!,0,0,0, hi please let me know if i can oppen a bank account saturdays at miami brickell what are the requirments thanks,joy,neutral
136,@ChaseSupport I have a question about quick pay. Can a representative call me,0,0,0, i have a question about quick pay can a representative call me,unknown,negative
137,@ChaseSupport i have a few questions .. #helpme,0,0,0, i have a few questions  helpme,unknown,positive
138,"@ChaseSupport I’d like to open a bank account with you. Can I just drop in any offices? I’m with Citibank now, do you take care of the move?",1,0,0, i’d like to open a bank account with you can i just drop in any offices i’m with citibank now do you take care of the move,joy,neutral
139,"@ChaseSupport Hi! If i add an authorized user, do I get separate reporting / statements for the other card?",0,0,0, hi if i add an authorized user do i get separate reporting  statements for the other card,sadness,negative
140,@ChaseSupport Are there any perks for referrals? I have a friend who wants to open a checking account.,0,0,0, are there any perks for referrals i have a friend who wants to open a checking account,joy,neutral
141,@ChaseSupport Once the payment went through on Monday it stopped. So all is well.,1,0,0, once the payment went through on monday it stopped so all is well,unknown,positive
142,@ChaseSupport got it taken care of thank you!! <U+263A><U+FE0F>,1,0,0, got it taken care of thank you u263aufe0f,joy,positive
143,@ChaseSupport why not? other financial institutions offer that capability which makes my customer experience easier.,2,1,0, why not other financial institutions offer that capability which makes my customer experience easier,unknown,positive
144,@ChaseSupport Thanks for waiving the fees-- thanks for real this time =],0,0,0, thanks for waiving the fees thanks for real this time ,unknown,positive
145,Found some real estate on my credit report gifted by Chase wonder if I can trick em into giving me the deed of trust <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC> @ChaseSupport @Chase,2,1,0,found some real estate on my credit report gifted by chase wonder if i can trick em into giving me the deed of trust edu00a0u00bdedu00b8u00ac  ,surprise,positive
146,"@ChaseSupport I can try to go to branch doing it again, is there a number that I can call in case the issue with the coupon?",-1,0,0, i can try to go to branch doing it again is there a number that i can call in case the issue with the coupon,unknown,negative
147,@ChaseSupport In the branch,0,0,0, in the branch,unknown,positive
148,"@ChaseSupport expiration date is 02/28/15, so that is not the issue, and I don't have the exiting account with Chase when tried.",-1,0,0, expiration date is 022815 so that is not the issue and i dont have the exiting account with chase when tried,unknown,negative
149,"RT @ChaseSupport: @Nessmatic_ Hello, I'd like to review your account regarding the ATM fees. Can you follow/DM your name and zip code? ^AN",1,0,0, hello id like to review your account regarding the atm fees can you followdm your name and zip code an,joy,neutral
150,@ChaseSupport Thank you for helping out! You guys are the best :),3,1,0, thank you for helping out you guys are the best ,unknown,positive
151,@ChaseSupport I'm following you not sure you're following me.,0,0,0, im following you not sure youre following me,unknown,positive
152,"@ChaseSupport What should I do, in order to be able to use the coupon to open the account in your banking branch.",0,0,0, what should i do in order to be able to use the coupon to open the account in your banking branch,unknown,positive
153,"@ChaseSupport I tried to open the new accounts using these coupon, but was told that the coupon was not invalid.",-1,0,0, i tried to open the new accounts using these coupon but was told that the coupon was not invalid,unknown,negative
154,"@ChaseSupport Once again, fraudulent activity on my account and NO ONE seems to know how to help resolve, 4 reps, 30+ minutes #noresolution",-1,0,0, once again fraudulent activity on my account and no one seems to know how to help resolve 4 reps 30 minutes noresolution,unknown,neutral
155,@ChaseSupport Followed!,0,0,0, followed,unknown,positive
156,@ChaseSupport Been trying many Chase Phone numbers like 1-800-432-3117 getting static and circuits are busy?  Problems?,-1,0,0, been trying many chase phone numbers like 18004323117 getting static and circuits are busy  problems,joy,negative
157,@ChaseSupport Yes. I shouldn't be asked for the same shit twice.,-1,0,0, yes i shouldnt be asked for the same shit twice,unknown,positive
158,"@ChaseSupport Thanks, if I get anything else I will just forward it",0,0,0, thanks if i get anything else i will just forward it,sadness,neutral
159,"@OverlordDarrell If only @ChaseSupport was the only firm suffering from this issue. What's the point, really.",-2,0,1, if only  was the only firm suffering from this issue whats the point really,sadness,negative
160,@ChaseSupport I bank with @bankofamerica why can't I receive eBills from you?  am I missing something?,0,0,0, i bank with  why cant i receive ebills from you  am i missing something,unknown,negative
161,@ChaseSupport I am on the phone with someone right now.,1,0,0, i am on the phone with someone right now,unknown,positive
162,"@ChaseSupport I'll give a call and if need further assistance , I'll let you know. 
Thanks !",0,0,0," ill give a call and if need further assistance  ill let you know 
thanks ",unknown,negative
163,"Call @ChaseSupport and punch in your acct# and zip code to get to a person. Get to a person, immediately get asked for acct# and zip again.",-1,0,0,call  and punch in your acct and zip code to get to a person get to a person immediately get asked for acct and zip again,sadness,negative
164,@ChaseSupport Already spoke to cust.service -told me no one can help &amp; that's the way it is (Slate Card) which prompted me to tweet about it,0,0,0, already spoke to custservice told me no one can help amp thats the way it is slate card which prompted me to tweet about it,unknown,negative
165,@ChaseSupport Already spoke to cust.service -told me no one can help and that's the way it is (Slate Card) which prompted me to tweet it.,0,0,0, already spoke to custservice told me no one can help and thats the way it is slate card which prompted me to tweet it,unknown,negative
166,"@ChaseSupport : I got this $200/200 checking /saving Bonus coupon from the mail, but when I tried to use it, was told it is invalid, why?",0,0,0,  i got this 200200 checking saving bonus coupon from the mail but when i tried to use it was told it is invalid why,unknown,negative
167,@ChaseSupport I got a new Sapphire Preferred card yesterday. I am trying to add it to my account but am getting Error 2001. Please help.,-1,0,0, i got a new sapphire preferred card yesterday i am trying to add it to my account but am getting error 2001 please help,joy,negative
168,@ChaseSupport it's a serious question. I have been trying to talk to a human for 30+ minutes,0,0,0, its a serious question i have been trying to talk to a human for 30 minutes,unknown,negative
169,@ChaseSupport what number do I call if I am going abroad and need $$$ ? #help,0,0,0, what number do i call if i am going abroad and need   help,unknown,negative
170,@ChaseSupport It was an online customer service agent for my biz Visa. Didn't get her name. :) But how nice of you to follow up! :),1,0,0, it was an online customer service agent for my biz visa didnt get her name  but how nice of you to follow up ,sadness,negative
171,@ChaseSupport Overnight a check to a merchant please!,0,0,0, overnight a check to a merchant please,joy,positive
172,"@ChaseSupport 
Is there a customer support phone number that I can call regarding my reservation through Ultimate Rewards program",1,0,0," 
is there a customer support phone number that i can call regarding my reservation through ultimate rewards program",unknown,neutral
