n,Cleaned Text,Emotion,Polarity
112, your tweet concerns me did you need help with an account jg,unknown,negative
113, thanks jg for the excellent service this morning,unknown,positive
114, impressive customer service thanks,unknown,positive
115, citi having the option to scan barcodes would make the app even betterbtwany chance of having applepay in brazilthe best bank,unknown,neutral
116, how do i call citibank from the bahamas,unknown,negative
117, so by default you dont report authorized users to the credit bureaus we need to call and give her ssn to request this,unknown,negative
118, form at  asks for her name but not ssn is that entered on a subsequent screen,unknown,negative
119, thanks ill add her as authorized user on my card so she can build up credit history before applying as a primary,unknown,negative
120, a add her as joint owner on credit card now or b start her as authorized user to build up credit history first any advice,unknown,positive
121, tx my wife just moved from uk and has no credit history in us trying to decide best way forward to build her credit history 12,unknown,neutral
122, hi do you report credit for additional authorized users on ty premier credit card account,unknown,neutral
123, hey guys how many times ive to post a notice that im outside the country so you dont block my card for safety Ì†Ìë,unknown,negative
124, i need help with my debit card i have been calling for days and it is not way to get it  still send it the wrong one,sadness,negative
125, thank you for calling and sorting out the issue very much to my satisfaction  my faith is restored,joy,positive
126, okay great thanks for letting us know,joy,positive
127, just did thanks for the prompt response tho wanted to know if citibank india should comply with rbi policies,unknown,positive
128, it ask for the security word and her password but she says she doesnt have any i need help please,joy,neutral
129, hi im trying to make a payment online for my mom she says she never created an online account but the site says otherwise cont,anger,negative
130, im im out of the country and dont have a phone,unknown,positive
131, oh sorry its from argentina thank you,sadness,neutral
132, great thanks for the quick feedback have a great day ,joy,positive
133, my citi debit card expiry date is 0115 will it serve until end of jan when will a new one be sent 2 my mailing address,unknown,positive
134,wow credit where credit is due way to save the day  my family appreciates it immensely,unknown,neutral
135,  thank you for following up great customer service and pleasant to work with good job,joy,positive
136, just did and it still said cannot process your check,unknown,positive
137, yeah i have sufficient light and all four corners appear but it keeps saying can not process,unknown,positive
138, its my husband  literally he has spent hours on the phone to get nowhere your people are incompetent,sadness,negative
139, thanks a lot,unknown,positive
140, hi i need to transfer money to an us account whats bic code of citibank in 79 5th avenue new york,unknown,negative
141, unfortunately it took 5 different representatives to figure this out,unknown,negative
142, yes apparently since i have this stupid private banking i have to do everything through the actual branch not the 1800 number,surprise,neutral
143, thanks for the quick response i updated my flash player cleared my cookiescache and was able to login,unknown,neutral
144, your citi apply application website is having problems with processing applications thanks,unknown,negative
145,  im having a similar issue the page wont load and i cant login to make a payment,unknown,positive
146, thx for prompt response i restarted a couple times and eventually got to my home screen,unknown,positive
147, feedback is fine no need to reach back out thanks,unknown,neutral
148,   hope they gave you an answer i do not know,unknown,positive
149, too bad are you aware of any banks that do provide customer support via email,sadness,neutral
150, anytime i try to login it takes me to a 404 page for a best buy credit card fixed in an incognito window but ya know,unknown,positive
151,  ok i see i have another question are cheques is still in practice could i get cheque book,sadness,negative
152, is it possible to open an account in citi in america i am not us resident,unknown,neutral
153, thanks,unknown,positive
154,deal makers notched nearly 35 trillion in ‚Äô14 best in 7 years    citi up from 8 to 5 in 14 ,unknown,positive
155, thanks much is there a twitter handle for india specific support,unknown,positive
156, i hate using the phone is there a way to contact citi by email,anger,negative
157, vkon‚Ñ ratings 58  50m viewers  and  interface projectÄ,unknown,positive
158, the option to get account statements doesn‚Äôt function well on firefox this is on citibank india website can you fix it,sadness,negative
159, im told that if i open an account with citi i can also have an account in london is this true what are the details,unknown,neutral
160, thanks for the reply just sent the message hope you can help,unknown,positive
161, vkon‚Ñ ratings 58  50m viewers  and  interface project,unknown,positive
162, i got it it doesnt allow login with saved user credentials even on private machine option to change that,unknown,positive
163,ty for contacting us custserv  i received awesome customerservice again from    thank you again,unknown,positive
164, graphics loaded sign on button has no effect,unknown,positive
165,i received awesome customerservice again from    thank you again,unknown,positive
166,im amazed that  bank has such a low quality dysfunctional website requests always stuck in circular loop ,sadness,negative
167, thank you,unknown,positive
168, yes  us bank account,unknown,negative
169, please explain why youd send a new debit card over the holidays  im out of town  now cant access my account  stupid,joy,negative
170, thank you i just sent that email address the requested information,unknown,positive
171, heres the address to my form for filling up forms please fill this up ,joy,negative
172, hi how it works this tweet like a chat how can i ask you abot personal related issue,joy,neutral
173, i dont have my log in details with me at the moment i was hoping you could let me know whether my payment went through or not,unknown,positive
174, cb took fee as accnt fell below 1500 cos cb took fee refunded the 10 but then took it the next month for same reason circular,unknown,negative
175,found a wallet in downtown nyc last night with several citi australia cards can someone help get me in touch with the owner ,sadness,negative
176, yes thank you,unknown,positive
177, yes ill do that thank you,unknown,positive
178, that did work thank you,unknown,positive
179,  or what number would i need to call i can figure that out tomorrow,unknown,negative
180, yes at the moment no though ill figure out the number unless you tell me when you will be calling i can be at friends phone,unknown,neutral
181, is there a reason why my citibank branch is closing,unknown,positive
182, mobile deposit not working tried uninstallreinstall no luck,unknown,positive
183,i was robbed the victim of identitytheft and citibank has failed to investigate my claim  ,unknown,negative
184, im about to take a flight so ill have to do it later   thanks,unknown,negative
185, can i change my diamondpreferred card to a americanairlinesciticard,unknown,positive
186, can get alerts to my mobile device when activities are happening  in my account,sadness,negative
187,,unknown,positive
188, spoke to onlinemobile with completely zero effect your fraud protection is a joke it blocks all the time i call and no action,unknown,negative
189, good night all have a very happy amp safe new years eve we will see you in 2015 well be here at 9am et to assist again tv,joy,positive
190, happy new year thanks for being the best bank decision ever,joy,positive
191, Ì†Ìò,unknown,positive
192, happy new year citibank i wish you success in the banking industry,joy,positive
193,  aubrey with citi hasnt yet resolved my reward but more helpful than hilton or citi blaming each other ridiculous,unknown,positive
194, on phone with aubrey right now  she also doesnt understand why reward hasnt been issued more helpful than anyone has been,unknown,positive
195, thank you same to you,unknown,positive
196, happy new year 2015,joy,positive
197, what is your email address ,unknown,positive
198, try using safari log in to online banking go to transfers wire transfer youll see says its a temp error but been there 6 mo,anger,negative
199, dm not working apparently  please give email address,joy,positive
200, everything was taken care of thank you for your service,joy,positive
201, thank you so much you were of great help so prompt and very efficient excellentcustomerservice,joy,positive
202, why does it not work like the rest of you ccs,joy,positive
203,    when is my atampt universal card going to work with apple pay,unknown,neutral
204,  so my phone was stolen how do i reset my password or bypass the security verifications thanks,unknown,neutral
205,thx for your loyalty custserv mm  thanks for everything you were extremely helpful happy new year to you as well,joy,positive
206, thanks for everything you were extremely helpful happy new year to you as well,joy,positive
207, hello vs sorry about that please check now,joy,neutral
208, thanks you guys rocked wish you could help me get cash balance out of a chase brokerage their branch won‚Äôt cut cashier‚Äôs check,sadness,negative
209,i cannot believe the runaround we‚Äôre getting from  on rolling over retirement acct  was nothing but a pleasure to work with,unknown,positive
210, just dmd my number thank you,unknown,positive
211, hello id like to know how i can close my account i am being charged monthly fees resulting in the account being overdrawn,joy,neutral
212, is there someone i could call to talk to,unknown,negative
213, both im trying to avoid the fee for my account not fair that i have to pay it due to incompetence from staff,unknown,negative
214, finally i got a secure message but when i access it i get this image call me pls ,sadness,negative
215, thanks  you rock happy new year,joy,neutral
216, do you know if the branches are closing earlier than 5pm today,unknown,positive
217, thanks you enjoy the new year as well,joy,positive
218, hi can my father make a deposit to my account via a teller transaction,unknown,negative
219, thank you so much for your help fingers crossed this one arrives happy new year Ì†Ìâ,joy,positive
220, thank you,unknown,positive
221, thanks,unknown,positive
222, yes you can contact me at the same number thank you,unknown,positive
223, good afternoon i would to make changes to my accounts,joy,positive
224, can you tell me where the nearest us branch is i tried calling but it took 10mins to reach rep my zip 94103,unknown,positive
225, i want to close my account can you tell me what i must do livechat on your website doesnt work either,joy,neutral
226,tolking about toy vicepresidents   get the award  doing nothing for the customers   ,sadness,negative
227,  just another vicepresident who just keep warm the chair and do nothing for the customers   ,joy,positive
228,  it seems that      do not take care of the customers,joy,positive
229, please can you help me get a new pin sent to my new address is the uk still waiting after 7 weeks following a 45 min phone call Ì†Ìï,joy,negative
230, im having problems with my account and im abroad now so its very hard to call the 800 number do u have any email,unknown,negative
231,please let me know the procedure online to close my basic account bank in us ,joy,neutral
232, can someone please help me,joy,positive
233, hello if you need help with your citi accounts please let me know and i can try to help you yc,joy,neutral
234, haven‚t received cards yet 4 days next week friend in nyc adress contact me by mail so my friend can receive and bring me cards,joy,positive
235, i apologize butwhere on the page is the online chat option,unknown,positive
236, how can i chat online with a citigroup representative about opening up a new bank account i cannot find a link anywhere,unknown,negative
237, thanks a lot,unknown,positive
238, ordeal was over in something like 2 hrs whatever glitch caused delay  communication to customers in waiting is expected,joy,negative
239, the reason i got the citi aa card was for the free checked bag but i was refused this on both legs of my tripi thought it was free,unknown,positive
240, gt mail fr pl for 13 after applied no response almost 10 days app id l2ssti0792560 can sum one look into it at least say y or n,unknown,negative
241, applied for an credit card in mumbai using eadhaar got delayed citing wrong address proof isnt there a rbi rule to accept it,unknown,neutral
242, hi i need help with my online account the online system is refusing to recognize my account notice that im out of the usthanks,unknown,negative
243, if you can help me to resume my account so that i dont have to go thru the process of registering it agn its a waste of time,unknown,negative
244,  its about a month i complete that given form but not a single word from you guys i get,sadness,negative
245, i tried to open a citigold checking account and the online application is broken as well  i am not able to complete,unknown,neutral
246, i tried to register a new credit card online but continue button is broken at  ,unknown,negative
247,  similar customer service for both citibank credit cards and hilton honors  none,unknown,negative
248,  my disappointment with hiltons citibank card continues no reward after meeting all requirements and yearly fee,unknown,neutral
249, i was wondering if u had a way to lessen my debt so i can pay it off quicker,unknown,negative
250,bye bye forever   and   welcome   and  ,unknown,positive
251, como ser„ de malo el servicio que ese tuit es la respuesta ,unknown,negative
252, yes,unknown,positive
253, im unable to edit autopay in any browser i try i receive a message saying edit autopay error,unknown,negative
254, scammers on myfreecams amp cb amp imlive amp skype sweetmaya91ampsweetmaya911amprobygentileampsebi3ampbadentierampoliver14 idthief,unknown,positive
255, allready spent quite a bit ofte in the phone no luck,unknown,positive
256, i need to speak with someone regarding questions about fraud on my account,unknown,negative
257, i am from the usa will be studying in hong kong for spring curious if you have resources on use of citibank cc abroad,unknown,positive
258, test,unknown,positive
259, im in a branch having the problem solved thank you for your concern though,joy,negative
260, your call center in the philippines is a huge fail had to answer nearly a dozen security questions  really,unknown,negative
261, i contacted many times the sending bank and give to me the swift transfer receipt and told that the transfer was sended 4 months ag,unknown,neutral
262," 

fatal servicio fatal",unknown,negative
263, if somebody can help me have a wire transfer from lebanon to venezuela with intermediary citibank 4 months ago,unknown,positive
264," 

fatal servicio fatal",unknown,negative
265, oh no im sorry to hear that if you like to discuss further or need assistance pls let us know yc,joy,neutral
266, thk god one more cashier is here now we have 2,sadness,positive
267, 1 cashier is working and 50 persons outside waiting in the line send me a message if you want pictures ,unknown,positive
268, thank you i emailed the requested information in a scanned pdf to that email address,unknown,positive
269, that is obvious since you provide customer service via twitter  nicely done,unknown,neutral
270,service im receiving from  regarding closing an account via twitterphoneemail is so good it makes me want to open another acct,joy,positive
271, thank you,unknown,positive
272, hi citi can i email proof of address for my credit card application instead of fax not sure how to use the fax herethank you,unknown,positive
273, i signed 3 times the form for the online acces and still im not able to do transfers,unknown,neutral
274, thank you for your reply your online services are probably the worst on earth,unknown,neutral
275, useless to ask for their assistancethey cant help its ok thanks,unknown,negative
276, i can but i cant dm you unless you are following me though,unknown,positive
277, cant dm as u r not following me on twtr mob 201115515575 call me anytime,unknown,negative
278, and can i use another banks atm to deposit cash in phl airport,unknown,negative
279, im currently out of the country and is in uganda can i give you my uganda phone number,unknown,positive
280, what is citibanks switcode for receiving internationals wire transfers,unknown,positive
281, follow me ill follow back then dm you,unknown,neutral
282, hello and thanks for trying to help i have already done that and it is not working any other ideas,unknown,neutral
283, thanks for noticing my tweeti realize it was just a glitch and can happen at any atm once in a while,unknown,neutral
284, ive alr received calls but theyre still unwilling to open my acc agn the prob is i dont owe e bank alot of  amp i was nt in sg,unknown,negative
285, no but i used another banks atmwas just the timing right as the cash was about to dispense made me bit anxiousits ok,unknown,neutral
286, it is saving account branch delhi india best time to contact 1200 to 2359 issue debit card ,unknown,neutral
287, has been going on for several days so some functionality is off with the site,unknown,positive
288,  and i get this ,sadness,negative
289, not using a bookmark under contact us gt send message i select my account and subject matter and enter msg then i press send,unknown,neutral
290,me sigue la cuenta  ahora tengo a quien putear por los 4000 que me cag„ el cajero autom„tico hoy a la ma„ana wiii,unknown,positive
291, i am a us based citi best buy mastercard holder so this would be considered a private label card,unknown,positive
292, just sent you a dm,unknown,positive
293, authentication issue with  your support people are having trouble understanding developer contact,unknown,neutral
294, when are overdraft fees charged and how much are they,unknown,positive
295,account created over 2 weeks ago and none of the employees have done their work to activate it at citiegypt ,unknown,negative
296,worst customer service ever in citiegypt telling me go home and will call u when we reslove it ,unknown,negative
297,account i created is blocked in citiegypt and i come for 3 days in a row to withdraw money cant since they didnt solve problem ,unknown,negative
298, kudos to  for their responsiveness to my tweets but from  mentioned in same tweets all is silence h‚Ä,unknown,positive
299, thank you doing so now,unknown,positive
300, i have an open credit card account but havent used the cc in years  im wanting to close the account but dont have full acct ,joy,negative
301, hey i cant withdraw money in atms abroad any idea why i called on the phone to post a notice about my trip,unknown,positive
302, how much does it actually cost you when someone overdraws their chkg acct by 100 for 2 days how much of the 36 fee is profit,unknown,positive
303, its been an hour later still no call,unknown,negative
304, actually i would love it if you just didnt have rude operators  and they wouldnt act like i was stupid that would be all ,joy,neutral
305, oops wrong account  is following now feel free to send your info thanks kb,unknown,negative
306, in the future for future money holders clients,unknown,positive
307, that will be available in their accts when they pay bills would be helpful  im done with us bank years ago but it might help in,unknown,neutral
308, away with paperwork disclosing that fact clearly  for new accts and people that need to pay with checks knowing the full amount,unknown,negative
309, begin to disclose to new acct holders that their payroll checks portion of it will be held for that time  send them with,unknown,positive
310, is that a possibility because that wouldve definitely helped out,unknown,positive
311, because that adds on to the where is my money frustration,anger,negative
312, that way this frustration doesnt happen the no one ever told me frustration,anger,negative
313, im not asking you to fix my problem im asking you to have the policy stated when depositing a check or otherwise,unknown,negative
314, well i can tell you i was never notified about the hold policy,unknown,positive
315, sure call me but  has given poor woman run around sure u r just placating too dontuseusbank fraud,sadness,negative
316, still expecting the dm though,unknown,positive
317,dont expect no phone call cause yall are not paying for my roaming charges so i expect a dm of your costumer service  ,joy,negative
318,they charged my paypal account then refunded the money and now took my normal bank account to overdraft like wth  ,joy,neutral
319, yes i needed to let you guys know that i will be traveling overseas this month so i dont have any troubles while abroad,unknown,positive
320, i never deposited it i took my check back out and took it inside,unknown,positive
321, i just dm you my phone number,unknown,positive
322, ok,unknown,positive
323, more customer service agents so im not waiting on the phone for over an hour or a number that goes straight to a human,unknown,positive
324, i would love to how can i reach u,joy,positive
325, i discussed this issue with the manager of the rep i spoke to  i think it has been discussed enough,unknown,positive
326, still holding,unknown,positive
327, im trying to discuss my us bank credit card and have been on hold for over an hour this is absurd,unknown,negative
328, that would be great thanks,joy,positive
329,  your  account is big enough for a quality sponsor check here  i,unknown,negative
330, why treat loyal customers like trash not only that but you give  a black eye my us bank card is my kroger card,joy,neutral
331, its coming up on 48 hours since i was promised a call back from a supervisor within 24 hrs this is customer service,unknown,negative
332, im having issues with my credit card but the hold times are ridiculous how might i get better assistance,sadness,negative
333, yes please ,joy,positive
334, thanks for proving why credit unions are better at least they gave me an answer with a number followed by other information,unknown,neutral
335, now i cannot get my money back customer service no help i need this money asap accumulating bank charges as a result awful,surprise,negative
336, your website is terrible  i accidentally double paid my balance never received email conf of either payment,fear,negative
337, having your customer service reps properly trained would be a good start,joy,positive
338, its been 4 months,unknown,positive
339, yeah ive gone in 3 separate times and theyve reissued it supposedly each time and they say itll be here in 710 business days,unknown,positive
340,  two months now and still no fix i dont want to use my browser any plans to fix this note4 nolove maybeswitchbanks,unknown,positive
341, you actually have all my contact info email phone thats how you verified my info etcbut i sent it again,unknown,positive
342, anyone home,unknown,positive
343, ive been locked out of my online account i think everyone in your call center knows me by now so i dont think you can help,unknown,negative
344, yes after one hour and twelve minutes i was able to report a missing card now i have to wait 10 days for a new one,unknown,positive
345, i would appreciate it feel free to dm me for contact information,joy,positive
346, they did end up answering after approximately 33 mins but the rep was very pleasant and answered my questions thanks,unknown,positive
347, yes please every time i call they are rude to me,joy,negative
348, i called back it took 30 minutes its 2015 you need a better system no reason we cant text or email you never called either,unknown,positive
349,"  oh no is there anything we can do to help things

absolve my debt ampamp quit swindling freshmen college students",unknown,neutral
350, already on the phone with a supervisor thanks,unknown,positive
351,"is this a joke 
  oh no is there anything we can do to help things cj",unknown,positive
352,   ty for the replyi was wondering cause the card says cant be reloaded,unknown,positive
353, reverse this automatic payment that was made somehow,unknown,positive
354, make sure that the money directly deposited in my acct at 1pm is immediately available instead of wait until tomorrow,unknown,positive
355,very happy with    you helped with my issue after complaining and it was resolved thanks ‚òÔè‚ùÔè,joy,neutral
356, your new atms ‚Äì i can speak for 3 of them i use regularly ‚Äì are unreliable new cash deposit always down amp unavailable fix it,unknown,negative
357, now following,unknown,positive
358, ohhh dont worry well be taking this up as well still unhappy with service amp amazed to get a quicker response via twitter,sadness,negative
359, no im not i lost my debit card but thanks for helping ,unknown,negative
360, finally sorted though customer service was atrocious there are other companies out there,fear,negative
361, no we are still on the phone and dont have enough cash for groceries,unknown,negative
362, 45420 its the us bank inside of meijer,unknown,negative
363, no not at all ive had such poor customer service ive waited days to allow them to handle to no avail w‚Ä,sadness,neutral
364,  give her all her fuking money back shame on yall  scamming ass blue eyed devil,sadness,negative
365, no not at all ive had such poor customer service ive waited days to allow them to handle to no avail wasted money,sadness,neutral
366,on hold trying to get the block on card lifted while standing the the super market on nye unbelievable nothappy ,sadness,negative
367, yup,unknown,positive
368, done amp done thanks for your helpful amp prompty reply,unknown,positive
369, yes,unknown,positive
370, my card still wont work ive been on hold with fraud for 18 min in mexico thats 50 cents a minute,unknown,neutral
371, nah,unknown,positive
372, iphone 6 those settings were already enabled and it still crashed,unknown,positive
373, thanks dm you now,unknown,positive
374, i did,unknown,positive
375," 
it was a money order and im new so they said it was held for 24 hours which i was cool with 9 days is a bit excessive",unknown,negative
376," 
yes release my funds to me i was told i could have them at midnight the next day and that was 4 days ago",unknown,positive
377, yes please because us bank keeps taking my money,joy,positive
378, on the ,unknown,positive
379, sure,unknown,positive
380,  no she couldnt transfer meshe gave me another number to call but i had to go to work,unknown,neutral
381, i spoke to the manager and she explained and corrected it thanks,unknown,positive
382,  maybe you guys should man the phones  i am both a business and personal customer and got both no help and poor attitudes,sadness,neutral
383, ive only been trying to call you guys for the past few days but the customer service is ridiculous,unknown,negative
384, its been resolved but im still annoyed this isnt the first time overdraft charges occurred while in high positive balance,anger,positive
385,gee thanks  for requiring me to have a less secure online banking password  ,unknown,negative
386,   been there done that gotta love the banking cartel i mean industry,joy,neutral
387, hahah they charge me 3600 immediately every time even if its 003,joy,positive
388,   hahah they charge me 3600 immediately every time even if its 003,joy,positive
389,   thx for heads up im def switching banks too ,unknown,positive
390, i will 100 no longer support   after zero overdraft notifications to deposit before a few issued,unknown,positive
391, 4 dollar overdraft turns into 4100 without having a 24 hour notice to make a deposit unacceptable  Ä,unknown,negative
392,4 dollar overdraft turns into 4100 without having a 24 hour notice to make a deposit unacceptable  ,unknown,negative
393,i will 100 no longer support   after zero overdraft notifications to deposit before a few issued,unknown,positive
394,high marks to the customer service pros at   amp  for their swift and efficient help with my stolen cards today,anger,positive
395,thanks  for charging me on a 60 transaction that never went through making me purchase it againamprefusing to help wthe 1st charge,joy,positive
396,hey  ive got plenty of money in my account stop declining my card ,unknown,negative
397,  is the most shittiest bank in the world literally,unknown,neutral
398, thank you he will be at work at 4 so the sooner the better this has been incredibly frustrating but i do appreciate your help,anger,positive
399, maintenance in the middle of the business day this is why im dropping  ,unknown,positive
400,   yep its awful until its gone or i find a new lender they can deal with cashing mailed paper checks,fear,neutral
401,its 2015 but my bank still doesnt allow me to have symbols in my password like every other website in the world  ,joy,positive
402,tired of being pushed around by pncbank  been 6 months and all that theyve done is referred me on justice ,disgust,negative
