"","x"
"95","@Ask_WellsFargo if you share our mixtape when it drops I'll reopen my account with you @Res_Welker"
"96","@Ask_WellsFargo your hidden fees are hideous"
"97","@ask_wellsfargo I love Wells Fargo but links in email are just scary!"
"98","“@Ask_WellsFargo: @jcrossley41 Did something happen, Justin? ^DQ” yeah something happened. I no longer bank with you"
"99","@Ask_WellsFargo 1-800-956-4442 and I wanted to get more info about a monthly charge for quicken given I haven't used quicken since 4/14"
"100","@Ask_WellsFargo I have no details about my bank account only my credit card and proof of identity. How can I access my funds?"
"101","@Ask_WellsFargo Can I buy down a current mortgage and re amortize my loan for a lower payment without refinancing and closing costs?"
"102","@Ask_WellsFargo at 3 diff ATMs in the ATL area your atms repeatedly reject money. Huge inconvenience."
"103","@Ask_WellsFargo I need to make a payment for a student loan &amp;  need an electronic routing number I have been given aba+bnf#'s"
"104","@Ask_WellsFargo can a wells Fargo customer care dm me as soon as possible it's regarding my account"
"105","@Ask_WellsFargo - You need to follow me, so that I can DM you."
"106","@Ask_WellsFargo thank you very much for the l responses. I genuinely appreciate that."
"107","@Ask_WellsFargo cool beanz!  Thanks"
"108","@Ask_WellsFargo  Can I access Wells Fargo Dealer Services on the mobile app?"
"109","@Ask_WellsFargo Way too late now. I spoke to your customer service this am and the bank twice. All over a trust document I submitted twice."
"110","@Ask_WellsFargo are they gonna give my $20 back??"
"111","@Ask_WellsFargo is taking money away from already poor people fun for y'all or nah?"
"112","@Ask_WellsFargo please update your ""information needed"" letters.open hours for claim center are wrong,it's not open until 10pm as promised."
"113","RT @Ask_WellsFargo: @_ColeBaby You're welcome. Please let us know if we can be of additional help. ^SN"
"114","@Ask_WellsFargo OK thank you."
"115","@Ask_WellsFargo thank you - It's well deserved!"
"116","@Ask_WellsFargo no but I thought you guys didn't charge to bank with the company"
"117","@Ask_WellsFargo you guys seriously have a security issue. END. OF. Story."
"118","RT @Ask_WellsFargo: @bryce_washed Glad to see this matter was handled, Bryce! If you have additional questions or concerns in the future, t…"
"119","@Ask_WellsFargo whatever! Stop withholding ppls money! I mean you got MY money and using it without provisional credit damnit!"
"120","@Ask_WellsFargo thanks again for doing that kind jesture at the beginning of the month without me knowing. You all are the best! <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>"
"121","@Ask_WellsFargo I laugh in the day, the selection was tiny and I couldn't change it."
"122","@Ask_WellsFargo store 0006255 309 N.Sepulveda Blvd EVERY time I go in there every single staff member I come across is amazing. I love them!"
"123","@hallvord Anyone at the @MozWebCompat know anyone at @Ask_WellsFargo ? I have had no luck for 7+ years (with 2 phone calls w/ humans)"
"124","@ask_wellsfargo Because of the failure to fix the site for the last 7+ years it has prevented me from using the site for the last 7+ years"
"125","@ask_wellsfargo I talked a person on the phone 2 different times"
"126","@ask_wellsfargo Firefox"
"127","@ask_wellsfargo Yet I asked for a fix back in 2007…

Your site there says you don't support the current Chrome, nor the last 4 versions of"
"128","@Ask_WellsFargo my account balance is almost $100 negative when I haven't used it since the 2nd. And you guys can't block my account for me?"
"129","RT @Ask_WellsFargo: @bradleyg_nzalez Hi Bradley, tell us more info (no account numbers) about the experience you're having, as we're here t…"
"130","@Ask_WellsFargo Did you ever add @opera support to the website? (I asked a few years ago, and talked to someone)"
"131","Thanks! RT @chrisharrington: @Ask_WellsFargo FYI - awesome #custserv.  Just had a call back from a DM I left @WellsFargo. Great job! ^NM"
"132","aw, I hope @Ask_WellsFargo sees Devon Sawa's tweet.  :)"
"133","@Ask_WellsFargo FYI - awesome #custserv.  Just had a call back from a DM I left @WellsFargo. Great job!"
"134","@Ask_WellsFargo can you dm me !!"
"135","@Ask_WellsFargo Things pending, then disappearing banking then showing up days later then disappearing again..on and on. #corrupt #mobsters"
"136","@Ask_WellsFargo Let's start with a closed savings account that you guys never closed and took money from my checking monthly to cover my ---"
"137","@Ask_WellsFargo Too much to tweet, too many things. I already called and was told the online banking is ""just a tool"" and not accurate!"
"138","RT @Ask_WellsFargo: @arturoolguin_ It's nice to see you received great customer service! Thanks for sharing this with your followers! ^TL"
"139","@Ask_WellsFargo thanks!  Everyone at the branch is super nice but that atm is possessed."
"140","@Ask_WellsFargo your ATMs don't accept money... There is nothing you can do. Very frustrating !"
"141","@Ask_WellsFargo By the way is there a way I could apply for a customer service job in one of your Vegas offices?"
"142","@Ask_WellsFargo Will do, after I troubleshoot this myself. I like doing that."
"143","RT @Ask_WellsFargo: @DanieeeeD We appreciate your business, Danielle! For tips and tools on building credit, visit http://t.co/CqmGuOAirs. …"
"144","@Ask_WellsFargo which makes no sense to me"
"145","@Ask_WellsFargo well that's just exactly what was INSINUATED!!!"
"146","@Ask_WellsFargo oh I have, 3 separate times and all I'm told is that they can't reverse them and the reason why is they can't tell me.. Huh"
"147","@Ask_WellsFargo excuse me mobile team"
"148","@Ask_WellsFargo can I be honest with you JD, will my message really get conveyed to the technical team?"
"149","RT @Ask_WellsFargo: @celinamonteroo Thanks for the love! ^DQ"
"150","RT @Ask_WellsFargo: @WATTz_Lopez Tell us your suggested ATM location and we'll notify our ATM team or visit http://t.co/sTGYr2IPHs to find …"
"151","RT @Ask_WellsFargo: @WATTz_Lopez Tell us your suggested ATM location and we'll notify our ATM team or visit http://t.co/sTGYr2IPHs to find …"
"152","RT @Ask_WellsFargo: @_theyhatekeesee Please let us know what caused you to feel this way. We'd appreciate the opportunity to help. ^TL"
"153","RT @Ask_WellsFargo: @Nell_WoodNorman That's great! Thanks for the update. ^PC"
"154","@Ask_WellsFargo My problem was resolved!"
"155","RT @Ask_WellsFargo: @lawlz13 We're happy we were able to assist. Thanks for sharing! ^PC"
"156","@Ask_WellsFargo Yes I've talked to them. The issue still exists.  Am just going to close my acct and go back to Bank of America."
"157","I love you @Ask_WellsFargo"
"158","@Ask_WellsFargo did you receive my info?"
"159","@Ask_WellsFargo I spoke and they say they can't waive a late charge! First company I have ever dealt with that will not at least once!"
"160","@Ask_WellsFargo I will call the number. But just got off the phone with customer support mgr and was told you don't do that at all anymore."
"161","@Ask_WellsFargo no customer service!"
"162","@Ask_WellsFargo I called and they say there is no grace period! I understand that... Is there any customer service? Pathetic!"
"163","@Ask_WellsFargo who do I ask for?"
"164","@Ask_WellsFargo Yes @alexgraymatter, please elaborate."
"165","I have never experienced the kind of fraud I am going through with @Ask_WellsFargo money has been stolen 4 times in two weeks. #fail #byebye"
"166","@Ask_WellsFargo still getting emails from you for a Fay A Bassett. It isn't me, guys! And I feel sorry for the girl who's not getting them!"
"167","""@Ask_WellsFargo: @Nell_WoodNorman We noticed your tweet and would appreciate an update on your visit. Thanks. ^TL"" Surely will!"
"168","RT @Ask_WellsFargo: @Nell_WoodNorman We noticed your tweet and would appreciate an update on your visit. Thanks. ^TL"
"169","@Ask_WellsFargo I do have overdraft protection.so why is my account negative when I should have 80$ in it?"
"170","@Ask_WellsFargo so far so good, got it handled. It's sometimes a gamble on drive through or walking in."
"171","@Ask_WellsFargo DM PLEASE"
"172","@Ask_WellsFargo I just did both"
"173","@Ask_WellsFargo MORTGAGE QUESTION"
"174","@Ask_WellsFargo I already did and they said it's going to take 5-10 business days to get MY money back that YOU GUYS took from me wrongfully"
"175","@Ask_WellsFargo ok. No I have called before and the rep on the phone said they can't refinance for the state of Hawaii. My question is why?"
"176","RT @Ask_WellsFargo: @ohitspaula_ Have you spoken to a banker about this? If not, please call 1-800-869-3557 or visit a Wells Fargo store. T…"
"177","@Ask_WellsFargo yesterday I Had money and now today it's just -27$ and idk how because I didn't use that money"
"178","@Ask_WellsFargo I have, and I've emailed. A solution remains to be seen."
"179","@Ask_WellsFargo you are taking my money"
"180","@Ask_WellsFargo QUESTION"
"181","@Ask_WellsFargo sent direct email. Stuck not being able to pay anyone b/c silly limits on my account unless  I pay fees for extra services."
"182","@Ask_WellsFargo I needed a replacement card and had to go to the bank 4 different times but still don't hve one. And an unfair  fee"
"183","@Ask_WellsFargo and b) if WF hadn't been stalling to begin with then the first appraisal wouldn't have ""expired"""
"184","@Ask_WellsFargo a) how much can the value of a home have changed in a whopping 2 weeks"
"185","@Ask_WellsFargo Now WF is apparently saying they want another appraisal, since the first one has ""expired."""
"186","@Ask_WellsFargo will do!"
"187","@Ask_WellsFargo WELLS FARGO MORTGAGE COMPANY IS INCOMPETENT"
"188","@Ask_WellsFargo : Rep. Loretta Sanchez stated that she doesn't bank online or use online bill pay, implying it's unsafe. Any reassurances?"
"189","@Ask_WellsFargo that is the issue-- multiple emails telling me I don't receive emails. Weekly nonsense, weekly irritation."
"190","@Ask_WellsFargo This happens at ATMs all over El Paso, TX. I can't find one that works consistently. Really frustrating."
"191","@Ask_WellsFargo I needed to deposit 5 checks this morning. It took 6 tries, and only 3 checks were actually scanned and accepted..."
"192","@Ask_WellsFargo Your envelope-less ATMs in El Paso are horrible and never accept checks on the first try..."
"193","@Ask_WellsFargo Thank you so much for help."
"194","@Ask_WellsFargo Thanks for the Management and Treatment of Alex ; quick response to my case!"
"195","@Ask_WellsFargo There is no ""good of the company"" untill you own a copy, or are you even up?"
"196","@Ask_WellsFargo work day, and hasn't returned the other call at all."
"197","@Ask_WellsFargo I've already left two messages for one of your ""specialists"" so far she has called back once, 5 minutes before end of (cont)"
"198","@Ask_WellsFargo definitely. It just came across as a little insensitive, but I'm over it and it's being taken care of. Thanks for asking."
"199","@Ask_WellsFargo @WellsFargo How hard is it to set a closing date when the house has been in short sale since last February??"
"200","RT @Ask_WellsFargo: Thanks for the compliment! RT @darrinmogul: @Ask_WellsFargo wow thanks for taking time out to reply! I love your custom…"
"201","@Ask_WellsFargo I have been a customer less than a month and I can honestly say I've never been angrier at a banking company in my life."
"202","RT @Ask_WellsFargo: @KristineLWyatt We're glad we were able to help, Kristine! Thanks for sharing with your followers! Take care. ^JD"
"203","@Ask_WellsFargo funny that says same day direct deposit but it was sent the 10th and I still don't have it ... <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"204","@Ask_WellsFargo Thanks the supervisor was very helpful and reversed the fee .made my day"
"205","RT @Ask_WellsFargo: @juanalvarez006 We appreciate the visit, Juan! ^DQ"
"206","@Ask_WellsFargo I already did the banker and manager couldn't waive it I just want it back. This is too much"
"207","@Ask_WellsFargo everything was great!"
"208","@Ask_WellsFargo I don't want to speak with a banker.  Can you take the previous 2 fees off my account. With tax it comes to $21.40"
"209","@Ask_WellsFargo I closed my WellsFargo account 2 days ago . So I'm not longer use WellsFargo . and my Online Banking is closed"
"210","@Ask_WellsFargo I've problem with receiving money by email, the problem is with Bank of America, they told me call Wells Fargo to Fix it"
"211","@Ask_WellsFargo @ChelseaATX ""Use more cash"" didn't really resolve my concerns, no."
"212","@Ask_WellsFargo I would never open another account with you &amp; I will let all my buddys know that you guys are selfish &amp; you are not truthful"
"213","@Ask_WellsFargo It was over the phone."
"214","@Ask_WellsFargo I got what I needed just a rude rep."
"215","@Ask_WellsFargo 1st impressions are always important, generally goes with the last chance or good relationship, mine was not good!"
"216","@Ask_WellsFargo follow me I'm not tweeting it"
"217","RT @Ask_WellsFargo: @impeccableREBEL Please reply back with more details of what occurred (no account numbers). We'd like to look into this…"
"218","RT @Ask_WellsFargo: @matt_west_17 It'd be best to explore options that best fit your banking needs with a banker at 1-800-642-4720 or visit…"
"219","@Ask_WellsFargo done!"
"220","@Ask_WellsFargo info was fine, the careless reps I spoke to were a problem. It's not right to treat loyal clients this way."
"221","RT @Ask_WellsFargo: @Shes_bee Congratulations! For credit management tips, visit http://t.co/Nw5mPqSgRH. ^PC"
"222","@Ask_WellsFargo Address is 3325 14th St NW, Wash DC. This has been an ongoing issue.  Thanks for your reply."
"223","@Ask_WellsFargo ok I did"
"224","@Ask_WellsFargo Thank you very much :)"
"225","RT @Ask_WellsFargo: @_alexandraav We appreciate your business, Alexandra! If you have questions, let us know! ^JD"
"226","@Ask_WellsFargo and they won't reverse the second overdraft because that's the 3rd time. Honestly not my fault."
"227","@Ask_WellsFargo you guys over drafted me twice and charged me $10 fee when I used my card 10 times."
"228","@Ask_WellsFargo unreasonable amount of charges made. I would like them removed. Multiple accts with you guys, will close soon of not fixed"
"229","@Ask_WellsFargo Why isn't this ATM in Wash DC ever open during the evening as the hours posted show?  Please answer. http://t.co/gqmuDeU92l"
"230","@Ask_WellsFargo I hate your stupid over draft fees"
"231","@Ask_WellsFargo You're welcome. Unfortunately though it makes me question why I bank with WF if banking at Walmart is easier."
"232","@Ask_WellsFargo I'm giving your bank and this branch 1 more chance to redeem yourselves. If the customer service doesn't change I'm DONE."
"233","@Ask_WellsFargo This is the Wells Fargo on Sunset in Rocklin, CA"
"234","@Ask_WellsFargo She said ""Yes, but the government could fail."" I ended up cashing it at Walmart with no questions asked!"
"235","@Ask_WellsFargo a simple bank transfer turned into a series of calls ending with threats to freeze my accounts."
"236","@Ask_WellsFargo I had enough in my account to cover ""the check couldn't be covered."" When I responded that it was endorsed by the US govt"
"237","@Ask_WellsFargo events that occurred on 12/29/14. He apologized to her &amp; stated that he would be speaking to his team fare it closed."
"238","@Ask_WellsFargo Went to cash a tax refund (I have account). Didn't want to deposit and woman refused to cash because unless..."
"239","@Ask_WellsFargo I met with the store branch manager, Daniel Aberra and he profusely apologize as my mother who had the issue explained the"
"240","@Ask_WellsFargo Thank you so much!"
"241","@Ask_WellsFargo &amp; @SallieMae $393.66 isn't/shouldn't be a big deal to you, but it is to my family!!! #unacceptable http://t.co/1ZPF9827Ub"
"242","How much negative TV publicity would you like over the next ""7-10 days"" @Ask_WellsFargo &amp; @SallieMae http://t.co/hFVv9GBt8M"
"243","@SallieMae @Ask_WellsFargo I will be contacting the TV news consumer advocate because you both keep saying ""7-10days or working on it"""
"244","@Ask_WellsFargo you made a mistake and now I have to wait 5-7 days to get it fixed and get left With NO $ to buy my other bills"
"245","Bless you Calia and Brian from @Ask_WellsFargo for fixing my problems I was having. You have made my whole day. Thank you so very much!!"
"246","@Ask_WellsFargo get nicer customer service people. I get my hard earned money stolen from me and it's my fault? K."
"247","@Ask_WellsFargo  I'm very unhappy with your services . If you are serious there are so many ways you can make#good."
"248","@Ask_WellsFargo hey no problem, you keep my money safe and I'll be a happy camper"
"249","@Ask_WellsFargo I've made so many people become Wachovia and Wells Fargo members. I'm this bank's biggest fan. So this is really sad."
"250","@Ask_WellsFargo Okay, thank you very much!"
"251","@Ask_WellsFargo I mean, all of that is pretty awful. I've been with you guys forever. ""Nothing you can do?"" That makes me so sad. :-("
"252","@Ask_WellsFargo and when I called back, I was told that person gave me incorrect information and there was nothing they can do."
"253","@Ask_WellsFargo so I made the deposit, but to my dismay did not have the $200 courtesy deposit."
"254","@Ask_WellsFargo they told me you guys were removing the $200 courtesy deposit, but some accounts will still have it, like mine."
"255","@Ask_WellsFargo Sure. I tried to deposit a check and received a weird message about new policies so I called customer service."
"256","@Ask_WellsFargo the ATM wouldn't let me make a deposit that I needed yesterday. I got it all straightened out though <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"257","@Ask_WellsFargo All of UNC's campus"
"258","RT @Ask_WellsFargo: @Schumack_ONE_ Thanks for stopping by, Joshua! We hope you have a great week. ^DQ"
"259","RT @Ask_WellsFargo: @AyyShybaby We understand you're upset. For immediate assistance, visit a WF store or call 1-800-869-3557 to speak to a…"
"260","RT @Ask_WellsFargo: @ThatDamnJessie We're happy to hear that! Hope you have a wonderful week! Take care. ^JD"
"261","@Ask_WellsFargo they post transactions too late."
"262","@Ask_WellsFargo I've already sat down with a Banker in person. And read through similar complaints on your website."
"263","@Ask_WellsFargo lol! It's all legit. I appreciate it. I love this bank"
"264","@Ask_WellsFargo it was the Wells Fargo at Florida International University Modesto Campus"
"265","“@Ask_WellsFargo: @foxyjr3 Thank you for the feedback. We will make sure to share this with the appropriate department. ^LW”"
"266","@Ask_WellsFargo I have. I was told 3-5 business days and it has been 6"
"267","@Ask_WellsFargo I did and this is why I know it's 30 dollars just to cancel a 20 dollar payment"
"268","@Ask_WellsFargo Doesn't allow scheduling direct transfers except wire transfers w/ a huge fee. I want to schedule SurePay for monthly rent."
"269","@SallieMae is a joke for causing this. @Ask_WellsFargo is pathetic for not being able to fix it! END OF DAY, OR I SWITCH BANKS! #incompetent"
"270","@Ask_WellsFargo thanks apprciate the help on the matter"
"271","@Ask_WellsFargo it's about not verifying payments that are made for my escrow account!!"
"272","@Ask_WellsFargo Westchester, IL location on 31st!"
"273","@Ask_WellsFargo Yes I did the fee wasn't refunded but the charge was ruled fraudulent so I'm not sire why they didn't refund the fee."
"274","@Ask_WellsFargo Insurance company get a payment request additional money got another payment! Should had to verify! #WellsFargosucks"
"275","RT @Ask_WellsFargo: @HugoBossRoss You're welcome. ^PC"
"276","@Ask_WellsFargo After that a HR phone call I will be closing this account smh 2008-2015"
"277",".@Ask_WellsFargo Your mistake in not honoring my payment date request cost me an add'l $1,000 in income tax. Needless to say, I'm pissed!"
"278","@Ask_WellsFargo asked my tax payment to be paid in Jan from escrow and it was paid in Dec - screwing up my itemized deductions for the year."
"279","@Ask_WellsFargo Any help and understanding would be greatly appreciated. Thank you."
"280","@Ask_WellsFargo yay please do!"
"281","@Ask_WellsFargo I just made a new account for saving online I may have to wait until I received the rest of my information is that correct"
"282","@Ask_WellsFargo I don't want to go to any site. You don't give a shot about your customers #wellsfargo"
"283","@Ask_WellsFargo I basically just wanted a reason to use your bank."
"284","@Ask_WellsFargo Gotcha"
"285","RT @Ask_WellsFargo: @donguille05 Hi Don. To speak with a personal loans specialist, please call 1-888-667-5250. Thanks. ^PC"
"286","@Ask_WellsFargo why, is he out of line to be txting me so much? Because it seems like he is."
"287","@Ask_WellsFargo OK thank you"
"288","@Ask_WellsFargo the one in SJ on market street. His name is Paul <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"289","@Ask_WellsFargo It won't let me DM you keeps saying internal error I guess it's time for the FTC thanks anyway."
"290","@Ask_WellsFargo Done."
"291","@Ask_WellsFargo just did. Thanks"
"292","@SallieMae screwed up 1st. They reversed charges on Fri. Now I wait for @Ask_WellsFargo fix this. #incompetent http://t.co/wwDpJe5Fm6"
"293","@Ask_WellsFargo call me. I want to speak to an exec."
"294","@Ask_WellsFargo Tried to preempt an unauthorized withdrawal from merchant.  Was told there was a non-waiveable $31 fee.DM me for my number."
"295","@Ask_WellsFargo Yes I was, and no they were not at the time I posted, 3 ATMs, none were able to dep. or withdrawl, only view balance."
"296","@Ask_WellsFargo  done"
"297","@Ask_WellsFargo  I need help with a short sale!!!"
"298","@Ask_WellsFargo I tried again, and again ""due to unforeseen circumstances"" no one could answer my call."
"299","@Ask_WellsFargo Can I request foreign currency at my local WellsFargo branch , even if I don't have an account?"
"300","@Ask_WellsFargo When I go shopping for a house, I will not be considering Wells Fargo for financing."
"301","@Ask_WellsFargo No way I'm doing that via twitter. The matter was resolved, finally, after 6 days &amp; 4 attempts."
