"","x"
"107","@BofA_Help I've already called you, but you cancelled a d card for NO reason. I requested to close old account and now I have no d card!"
"108","@BofA_Help no closed my account. Oh one of your employees,Alexander Cordova was really rude and had me speak with some1 who gave me a fake#"
"109","My day was already a bit of a crap sundae, but @BofA_Help, you managed to be the cherry on top. I can't believe it."
"110","@BofA_Help I was going to ask about opening an account, but this is rediculus. I will take my business  elsewhere."
"111","@BofA_Help standing in line with 1 person in front of me, for 30 min now with one teller who disappeared for 10min."
"112","@BofA_Help stop turning my card off then, idiots."
"113","@BofA_Help follow back so I can direct messsge"
"114","@BofA_Help Bank of America told me they would not open my 2credit cards that I had with them for over 10 years so DISCOVER has my business"
"115","@BofA_Help sent you a DM"
"116","@BofA_Help i lost my biz card. trying to order a new one - is there anyway to send it to my house instead of my biz address?"
"117","“@Ksavage___: Can Yall call me back or nah @BofA_Help” <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"118","@BofA_Help I don't have a zip code- I'm in the UK."
"119","@BofA_Help oh, well it wouldn't let me. Now I will though"
"120","@honeybea420 @BofA_Help like what's happening hahsha. Sad"
"121","@BofA_Help Hello! What is the fastest way to link one of my accounts with my debit card for cash deposits through an ATM? Thanks."
"122","@BofA_Help can yall message me?"
"123","@autumnpixy @BofA_Help asking some one to give bank account info over Twitter even to a verified account is super sus <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>"
"124","@BofA_Help You are more than welcome rh, thank you again for your quick response. Enjoy your day!"
"125","@BofA_Help U have officially lost my business. Sad u losing a loyal customer over bs #BOASucks #HorribleService #BS"
"126","So pretty much @BofA_Help u just wanted to seem like u were trying to help while just wasting my time. My business is going elsewhere #Sad"
"127","@BofA_Help I already called. The bitch said they can't reverse anything and told me to close my account. So I shall."
"128","@BofA_Help Could you tell me if the number phone in billing address could be the reason about the credit card can not be processed?"
"129","@BofA_Help please follow me so I can send you a message."
"130","@BofA_Help Can't, you don't follow me."
"131","@BofA_Help you guys shut down my account in the middle of processing a check. What the fuck?! #Unsatisfied"
"132","@BofA_Help can you explain why the account I've had since I was in high school is going to be changed and you're suddenly going to charge me"
"133","@BofA_Help just email me. miss.alisha.le@gmail"
"134","@BofA_Help 
Don't worry i will go to the bank after a while.."
"135","@BofA_Help I can't.. I'm out of the country."
"136","RT @BofA_Help: @mimzydeldan I apologize for your experience, Alex. Please DM the location so I can share this information with our leadersh…"
"137","@BofA_Help I want to check, what is the foreign currency exchange rate for BOA travel reward card when I purchase item in Hong Kong?"
"138","“@BofA_Help: @zofolarinn What happened? We’re here to help; let me know what I can do to assist. ^ys” nothing just leave me alone<ed><U+00A0><U+00BD><ed><U+00B8><U+0092>"
"139",".@BofA_Help suck dick Foh"
"140","RT @BofA_Help: @AyooLeish  Hi, please let us know if you have a specific account related issue you would like us to assist with. Thank you.…"
"141","@BofA_Help Who are You and where are you located and how do you know me?"
"142","@BofA_Help They've fobbed me off suggesting they can't tell me why I'm unable to do online shopping incase I turn out to be a fraudster."
"143","@BofA_Help I've had the same transaction declined two weeks running and your fraud staff are just rude about it."
"144","@BofA_Help I need someone who knows what they're doing to close my account once and for all."
"145","@tadfry  We saw that you mentioned us. If you need help, let us know @BofA_Help. ^mb"
"146","@BofA_Help $5 for a new debit card that was stolen??? But you'll send me several free credit cards? #Bankofamericafail #bankofamerica #shady"
"147","Wth man! I been tryin to give @BofA_Help AMPLE time to correct their error without me saying anything but yet, NOTHING! Smh. #SameThingAGAIN"
"148","@BofA_Help I need help locating my account!"
"149","@BofA_Help I spent about an hour trying to reinstate a closed account that is important to me. Why we are not given sufficient notice?"
"150","@BofA_Help what is the resolution to my problem"
"151","@BofA_Help Quickly, yes. Solved, no. Changing closing dates don't help budgeters, so that's annoying."
"152","@mattykinss94 If you have a BofA question or concern, let us know @BofA_Help. ^as"
"153","RT @BofA_Help: @lavenderliquor  Tia, thank you for taking the time to speak with me today and allowing me the opportunity to assist. ^ji"
"154","@BofA_Help Batesville, AR.  You closed the only branch in Batesville. It would be nice to at least have an ATM."
"155","@BofA_Help it's taken care of now thanks!"
"156","@BofA_Help they have and thank you I was able to open a savings account yesterday"
"157","@BofA_Help its ok they finally responded"
"158","@BofA_Help I shouldn't be required to have an account with you to cash this settlement check. Oberlin and Clark street 27605 won't cash chk"
"159","“@BofA_Help: @Richie_Skxwd  Hi, what happened? Anything I can do to help? ^am” yeah by holding these nuts boy . Yall are slow . In va"
"160","@BofA_Help  Doing a mobile deposit &amp; saw a message ""..deposit limit for this account 8k"". Is that just mobile deposits or all deposits?"
"161","@BofA_Help please follow so I can DM"
"162","#Bankofamericafail Bana refuses for over 3 years to modify elderly 73 yr-old widow 52k mortgage. Wants her to just move out. @BofA_Help"
"163","@BofA_Help Are you the UK branch? #MBNA are awful."
"164","#Bankofamericafail Bana seeks to foreclose 86 yr-old Hawaii  African American with blood cancer because of deceptive Option ARM  @BofA_Help"
"165","#Bankofamericafail
More incompetence even with a CFPB complaint outstanding.  Bana screws a couple in Hawaii since 2010...@BofA_Help Fail!"
"166","Mod case not in review because didn't send in materials.  Except we did...to their lawyers too.  @BofA_help more of the  incompetence."
"167","@BofA_Help 3634 Pleasant Knoll Dr, 95148 need executive help asap, negotiator and supervisor non responsive call me anytime asap"
"168","@BofA_Help I'm ok thank u"
"169","@BofA_Help travel notice via online banking? It says none of my cards are eligible for a travel notice.. will I be able to use them?"
"170","And of course I’m waiting forever to close my account. One last “Fuck you” from @BofA_Help."
"171","@BofA_Help I'm good. Thank you."
"172","Straight mob style! They change the conditions of my account w/o my approval and now wanna help @NatTowsen @BofA_Help"
"173","Finally closing my @BofA_Help account. Why would I pay for something I can get with @USAA for free? “Monthly maintenance” my ass."
"174","RT @NatTowsen: @treysucks Don't DM @BofA_Help. They always reply with ""i swear to god if u switch banks i'll fuckin find you and break ur f…"
"175","@BofA_Help Thank you rh so much that's exactly what I needed. Thank you again and have a wonderful day!"
"176",".@BofA_Help It’s beyond your help."
"177","@BofA_Help ok thanks!"
"178","@treysucks Don't DM @BofA_Help. They always reply with ""i swear to god if u switch banks i'll fuckin find you and break ur fucking kneecaps"""
"179","My concern is that you are giving me more attention now than when I needed it. You have all my information dummies! @BofA_Help"
"180","<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> RT @L_Barb0sa: Fuck off . “@BofA_Help: L_Barb0sa  Hi, what happened? Anything I can do to help? ^am”"
"181","@BofA_Help When will you support 2-factor authentication?"
"182","RT @BofA_Help: @treysucks  Please DM your full name, zip and phone so we can give you a call to discuss your concerns. ^ls"
"183","Fuck off . “@BofA_Help: L_Barb0sa  Hi, what happened? Anything I can do to help? ^am”"
"184","@BofA_Help what the fuck is this? http://t.co/04zkPitzHB"
"185","@BofA_Help talked to Bank of America today on the phone and they were awesome and make up for the awful hollywood and vine branch."
"186","@BofA_Help I just spoke with a rep named Mason and he was such a great help! I believe he deserves some recognition! :)"
"187","@BofA_Help no this is the new meaning of customer service,  i got 3 calls... Everyone tried the best. Never knew the power of social media"
"188","You don't help or listen, the only thing you learn is 'how bad can we dick people without them taking their money elsewhere' @BofA_Help"
"189","Are you even real or just a bot? Nevermind, if you work for BofA you are a bot whether you know it or not. That rhymes. @BofA_Help #bofasux"
"190","you should rethink if you wanna keep working for assholes or find a job that REALLY helps people @BofA_Help"
"191","@BofA_Help could you verify my routing number and what type of account I have?"
"192","@BofA_Help If your customer service sucks then obviously I've called."
"193","@BofA_Help Sorry, when at the ATM machine it tells you to type a certain code to so that you can receive updates of either bal/or history"
"194","@BofA_Help Please advise an E-Mail address to which I can forward a debit card complaint. I have a photograph as supporting evidence."
"195","@BofA_Help you can call anytime from now to one hour later"
"196","@BofA_Help Done. Thanks!"
"197","@BofA_Help help would be appreciated"
"198","@BofA_Help Please follow and DM"
"199","@BofA_Help am having problem with my credit card. am currently abroad. what do i do"
"200","@BofA_Help I called, thank you"
"201","@BofA_Help Lovely!"
"202","@qyvemuretor    Thanks for mentioning us. If you need to reach us directly, our handle is @BofA_Help.^sw"
"203","@BofA_Help issue was resolved"
"204","@BofA_Help I need help with my account ASAP"
"205","@BofA_Help Not yet…we hung up after being on hold for close to 2 hours total…any suggestions on how to get through today?"
"206","@BofA_Help thank you!"
"207","@BofA_Help Sheldon from your chat service need to be retrained! #badcustomerservice #willnotrecommend #Incompetent"
"208","@BofA_Help :Kindly retweet this amazing Google-patent pending lock screen app :https://t.co/YIiGWs2lBJ

Video :https://t.co/uQ4mSOnvq8"
"209","@BofA_Help I live abroad so I can't call... I went to the site, though and used the chat. That's a nice feature <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> I tweeted that it was set!"
"210","@BofA_Help you guys said that my deposit would activate at midnight, but i called and it said it would activate on the 15th instead. #Lies"
"211","@BofA_Help 
My full address is 
Irit and Yoav Garmi 
Yodfat 
D N Misgav 201800
ISRAEL 
Telephone  972-54-561-0064"
"212","@BofA_Help 
Can you provide me with the mobile banking code? Please and Thank you."
"213","@BofA_Help going on hour 3 of being on hold. Would like an option of a call back time."
"214","@BofA_Help dear I have a checking account with you and I want to close it as I'm not in the country ne more.
Pls help"
"215","@BofA_Help get rid of your monthly maintance fee for people whose employers don't offer direct deposit."
"216","@BofA_Help  I wasn't able to get through. I sent a message about what happened through the site in hopes that someone will direct it to HR."
"217","RT @jaguarspaww: @BofA_Help it's nothing anymore! the $ appeared on my account! thank you"
"218","@BofA_help my last mobile deposit was credited and then a few days later it was debited. Why????"
"219","@BofA_Help you have the worst service in the country! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B8><U+00A0> &amp; your over draft fees are bullshit! Stop stealing money from hardworking ppl <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>"
"220","Disappointed with @BofA_Help again. My job doesn't offer direct deposit so you steal $12 from me a month. Tisk tisk"
"221","@BofA_Help was told my card was sent out yesterday? ... My debit card got hacked"
"222","@BofA_Help Why no support for chase e-bills? I just switched to BofA from ally and this is making me think twice about that decision."
"223",".@BofA_Help it happened in my brain not in real life but thanks for your concern!"
"224","@BofA_Help Thanks. I called the branch and got my answer!!!"
"225","@BofA_Help if you would like to continue your existence quit blowing up my twitter"
"226","RT @angeli_0910: Thank you so much @BofA_Help for the help today!!!"
"227","@BofA_Help please call me"
"228","@BofA_Help I've already closed my account."
"229","@BofA_Help I am waiting"
"230","@BofA_Help I got it taken care of by helpful people on the phone but it was still pretty darn silly to get charged twice."
"231","@gmontalto73 On your Home page Click the Person Icon in top right &amp; send New Message to @BofA_Help with name/zip/phone number. ^pf"
"232","@BofA_Help I've already called in and every thing is okay! The woman on the phone was very helpful! Thanks anyway!"
"233","RT @BofA_Help: @PraiseTui We’re here to help; let me know what I can do to assist. ^ma"
"234","@BofA_Help what do you mean by DM?"
"235","@BofA_Help I got my paper ID no picture on it and they won't let me cash my check. My ID card comes in 2-4 weeks but I need the money now<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>."
"236","@BofA_Help I cannot afford of $103.00 overdraft fee in my account. It is unreal of the way things set up. Now I am dying looking @my account"
"237","@BofA_Help too late now. Closed my account today, old fashion credit union will do. lost over $100 in fees before I even started using BoA"
"238","@BofA_Help sorry for the missed call I figured it out thank you though"
"239","@BofA_Help i have a question!"
"240","@BofA_Help i've called to report it, thank you though"
"241","@BofA_Help an unauthorized check was processing in my account"
"242","""@BofA_Help: @_aldildo We’re here to help; let me know what I can do to assist. ^ma"" I'm sorry... I moved on. I'm with @WellsFargo now..."
"243","@BofA_Help Unfortunately, you can only DM someone who follows you."
"244","""@BofA_Help: @_aldildo We’re here to help; let me know what I can do to assist. ^ma"" Lmfao"
"245","@BofA_Help I am grateful that you guys help me before now I am trying to do a claim and the worker only looking down on people"
"246","@BofA_Help why is the customer service line hang the phone on people when they supposed to help ?"
"247","@BofA_Help yeah you can not charge me $30 to stop an auto payment"
"248","@BofA_Help all good thx"
"249","@BofA_Help nope no thank you ! already called I'm over it"
"250","@BofA_Help 

Today at 4:26 PM  

Kathleen Torchia Travers
92629
949-488-0846 or 916-944-2149"
"251","@BofA_Help will do so now! She was great! I'm a happy customer! Thx!"
"252","@BofA_Help 
You can call me on 918-853-5653 
It would be fine to call me now.."
"253","@BofA_Help great! However, I can't DM you unless U follow ME <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #twitterrules"
"254","@BofA_Help thank you!"
"255","@BofA_Help Please tell your CEO's to stop taking bonuses and remember where their money comes from."
"256","@BofA_Help - no, i made 2 payments on accident to my CC. There was no confirmation so I didn't know if it went through. I need to cancel 1."
"257","@BofA_Help 
No it is the same number 
0096899456083
I will be waiting for a call =)"
"258",". @BofA_Help talked to 5 ppl today, 4 of which were EXTREMELY polite &amp; helpful, put me in a good mood, 5th- total bitch &amp; not helpful AT ALL"
"259","@BofA_Help 
Yes I am pissed off At Bank of America policy. Let's do a refinance or modificAtion now"
"260","@BofA_Help back to me when I was on hold for about a half hour and got it"
"261","@BofA_Help Dustin helped me set up a business card and expedited it for my upcoming trip free of charge. Much appreciated!!"
"262","@BofA_Help I got the denied for postpone. Account manager is being so mean to cleint. No wonder why it was denied for postpone"
"263","@BofA_Help No, unless you eliminate the unnecessary fee of $6 to cash a check at BOA, it's ridiculous"
"264","@BofA_Help I've had a migraine for two days. I'll call tomorrow. Thanks."
"265","@BofA_Help 
I am having problems using my master card at Tulsa University book store. Tried to contact but didn't work. I need help"
"266","@BofA_Help I will call to follow up tomorrow"
"267","I need Bank of America to call me @BofA_Help"
"268","@BofA_Help yeah. You can stop taking out a monthly fee you shit."
"269","“@BofA_Help: @jaguarspaww You're welcome! I'm glad you were able to resolve the issue. Enjoy your day! ^eb” you too! (:"
"270","@BofA_Help Pls call me asap because BofA denied the postponed. Sale date is tomorrow"
"271","@BofA_Help it's nothing anymore! the $ appeared on my account! thank you"
"272","@BofA_Help Is it possible for a Non-US Resident with a Tourist VISA,but who has Family Living in The US , to have an acc"
"273","@BofA_Help Thanks again for your help, Cathy. You're an angel."
"274","@BofA_Help thanks for your help!"
"275","@BofA_Help I am looking into other options I have. I will let you know"
"276","Thanks Bank of America for prompt phone response to tweet. I hope to hear you change policy &amp; email when a card is compromised! @BofA_Help"
"277","@BofA_Help I keep having to replace my debit card due to suspicious activity. It's a chore with auto debits."
"278","@BofA_Help I. Don't. Need. help. Thanks."
"279","@BofA_Help you can call me now."
"280","@BofA_Help I went to a location today &amp; got it straightened out. Thanks for being attentive! <U+263A><U+FE0F>"
"281","@BofA_Help My refi contact called me &amp; he was super helpful &amp; took time 2 understand issue. Ty VERY much 4 help!!"
"282","@BofA_Help Thank you"
"283","@BofA_Help how about you guys let me hold on to your money instead and I'll give you .00001% in interest every month for it, deal?"
"284","@BofA_Help I just spoke with someone from your dept."
"285","@BofA_Help can I get my check card changed? I want a NY Giants one.  You used to be able to pick o. The website what kind of cc u wanted."
"286","@BofA_Help not bout to discuss via Twitter.."
"287","@BofA_Help you guys are stilll sending stuff to an address i haven't lived since the 90's.. wtf.. you get the right addy when sending a bill"
"288","@BofA_Help hi! I fixed my problem. Thanks a bunch!"
"289","@BofA_Help I have It fixed now.  Thank you"
"290","@BofA_Help I can barely use Twitter. My tablet is preventing me from transfering to a credit card. Plus One question? Thank you!"
"291","@BofA_Help Someone signed up for a BofA account w/ my email address. I keep getting their alert emails. How can I stop getting these?"
"292","RT @BofA_Help: @jaguarspaww   We are following up to see if you need assistance. Please let us know if there's anything we can do to help. …"
"293","@BofA_Help Aw i appreciate the concern but I'll be alright!"
"294","@BofA_Help Hi thanks, I've already submitted a fraud report. I've been notified that I will be getting a new card in the mail soon."
"295","@BofA_Help Just did. Thank you!"
"296","@BofA_Help unless you wanna donate 1 million dollars to me than I don't need ur help"
"297","@BofA_Help I'll be going to a branch today to get it working, thank you."
"298","@BofA_Help I called in and someone helped me, thank you."
"299","@BofA_Help this is exactly why I am so frustrated with the service!"
"300","@BofA_Help I already sent my phone number and you responded."
"301","<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> RT @MakeNU_SQUIRTnU: “@_Juicy_Drips: @BofA_Help yea tell them to unlock my account so I can get my 2150!!!”<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @Ebon_ee"
"302","@BofA_Help Why is there a withdraw fee w/ Santander in Mexico City now? I thought u were partners &amp; there weren't cash withdraw fees!"
"303","@BofA_Help im at the bank right now about to go off and make a scene but thank u Kathy I don't blame u"
"304","“@_Juicy_Drips: @BofA_Help yea tell them to unlock my account so I can get my 2150!!!”<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @Ebon_ee"
"305","@BofA_Help @BudBunnny she can't call you, cause you took all her money. you guys suck."
"306","@BofA_Help Thankyou."
"307","@BofA_Help Hi, thanks for the follow up, I was able to change it on my computer (couldn't see it on my phone.) have a good day!"
"308","@BofA_Help This makes $100+ that I have been charged over the past yr in maint. fees. Would appreciate someone calling. Very frustrating"
"309","@BofA_Help I have been charged a maintenance fee AGAIN for my e-banking acct. I do not use a teller and this was clarified last time."
"310","@BofA_Help    Yes I would like a loan modification or refinance"
"311","@BofA_Help LMAO NO GET AWAY FROM ME"
"312","@BofA_Help my credit card acct isn't showing on my BofA app, only my checking &amp; savings... Is this new?"
"313","@BofA_Help Will do.  Thank you!"
"314","@BofA_Help No, I have not; I just wondered why anyone would use the donation option instead of getting more cash and donating it themselves"
"315","@BofA_Help could I get some help. Please!! <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"316","@BofA_Help    &gt;.&gt; no I already called you guys and got handed a pile of shit I don't need it tweeted at me also."
"317","@BofA_Help I warned you and what did you do to help me? You sat idly by with your arms crossed above your keyboard and neglected my cries <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>"
"318","@BofA_Help I have been calling for a month about my credit card &amp; this month I get a late for a card fee for a card I've been calling about"
"319","@BofA_Help I bought something online and I don’t recive it yet can I dispute it on a debit card. Please help."
"320","@BofA_Help Too late. Damage is done. Mortgage refi process horrible.Check your files for reason why. I'll never do business with BofA again!"
